episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,2722,32.49498,0.0
1,False,1.0,10000,0.2365,1.0
2,True,1.0,6302,13.39176,0.3356077
3,True,1.0,323,33.99057,0.0
4,True,1.0,994,37.15705,0.0
5,True,1.0,190,34.99633,0.0
6,True,1.0,2584,32.36522,0.0
7,False,1.0,10000,0.0,1.0
8,True,1.0,119,24.98955,0.0
9,True,1.0,2767,29.9289,0.0
10,True,1.0,83,21.17068,0.0
11,True,1.0,8885,12.62494,0.4980304
12,True,1.0,313,20.95917,0.0
13,True,1.0,981,29.7545,0.0
14,True,1.0,9619,14.65832,0.2386943
15,True,1.0,2471,16.58101,0.1027924
16,True,1.0,608,32.98386,0.0
17,True,1.0,6779,21.4523,0.03024045
18,True,1.0,9499,40.40303,0.0
19,True,1.0,1583,26.28851,0.0
20,True,1.0,358,10.01582,0.4916201
21,True,1.0,122,35.35074,0.0
22,True,1.0,1109,43.31863,0.0
23,True,1.0,4898,33.61361,0.0
24,True,1.0,5154,10.88348,0.6224292
25,True,1.0,1336,32.43835,0.0
26,True,1.0,1758,40.1236,0.0
27,True,1.0,1724,32.04079,0.0
28,True,1.0,8543,5.595958,0.8838816
29,True,1.0,1712,32.74817,0.0
30,True,1.0,921,4.879607,0.9033659
31,True,1.0,1828,52.09188,0.0
32,True,1.0,1111,48.14106,0.0
33,True,1.0,838,17.08127,0.0
34,True,1.0,2694,30.57506,0.0
35,True,1.0,2790,36.67466,0.0
36,True,1.0,308,5.32798,0.9188312
37,True,1.0,1185,41.25755,0.0
38,True,1.0,3676,31.20641,0.0
39,False,1.0,10000,0.0,1.0
40,True,1.0,136,58.22128,0.0
41,True,1.0,7735,40.54725,0.0
42,True,1.0,8247,41.26777,0.0
43,False,1.0,10000,0.1872,1.0
44,True,1.0,3139,47.26886,0.0
45,False,1.0,10000,0.4227,1.0
46,True,1.0,113,36.82925,0.0
47,True,1.0,2235,18.79515,0.1033557
48,True,1.0,1751,4.406782,0.9525985
49,True,1.0,3096,28.09935,0.1133721
50,True,1.0,707,47.41995,0.0
51,False,1.0,10000,0.0,1.0
52,True,0.9787234,272,8.012733,0.5845588
53,True,0.9791667,1329,35.52738,0.0
54,True,0.9591837,1592,30.30278,0.0
55,True,0.96,868,23.74007,0.0
56,True,0.9607843,8143,13.89028,0.5377625
57,False,0.9607843,10000,0.0,0.9607843
58,True,0.9615384,3505,15.42654,0.2644793
59,True,0.9622642,4573,40.37229,0.0
60,True,0.962963,1629,16.6898,0.1663597
61,True,0.9454545,2001,22.09206,0.2013993
62,True,0.9285714,9756,7.27762,0.8241082
63,True,0.9298246,1081,29.40553,0.0
64,True,0.9310345,2249,11.31945,0.5473544
65,False,0.9310345,10000,0.1836,0.9310345
66,True,0.9322034,1346,21.30915,0.0
67,True,0.9333333,3552,29.79581,0.0
68,True,0.9344262,4005,15.25831,0.2054931
69,False,0.9344262,10000,0.4084,0.9344262
70,True,0.9354839,3502,44.02908,0.0
71,True,0.9365079,7671,14.82572,0.1765089
72,True,0.9375,6760,44.01212,0.0
73,True,0.9384615,6543,5.606693,0.8670335
74,True,0.9393939,3463,18.89789,0.09760323
75,True,0.9402985,9548,7.16944,0.7382698
76,True,0.9411765,282,35.98617,0.0
77,True,0.942029,1024,28.60903,0.0
78,True,0.9285714,73,10.17949,0.369863
79,True,0.9295775,1516,37.56351,0.0
80,True,0.9305556,4014,16.35712,0.1253114
81,True,0.9315069,2905,10.39657,0.6037866
82,True,0.9324324,262,29.21224,0.0
83,True,0.9333333,3679,25.36104,0.01032889
84,True,0.9342105,4569,34.4235,0.0
85,True,0.9350649,1025,17.58504,0.1531707
86,True,0.9358974,3973,11.21983,0.5796627
87,True,0.9367089,1157,29.32258,0.0
88,True,0.9375,1831,38.19723,0.0
89,False,0.9375,10000,0.8956,0.9375
90,True,0.9382716,327,12.86828,0.0
91,True,0.9268293,3938,20.62742,0.325546
92,True,0.9277108,1958,27.30453,0.0
93,True,0.9285714,6948,20.42344,0.3172136
94,True,0.9294118,11,34.52567,0.0
95,True,0.9302326,7839,37.96064,0.0
96,True,0.9310345,1643,30.8895,0.0
97,True,0.9318182,4886,13.88964,0.5249693
98,True,0.9325843,2950,37.28194,0.0
99,True,0.9333333,2695,10.60361,0.4482375
100,True,0.9340659,706,20.62577,0.0
101,True,0.9347826,298,26.40789,0.0
102,True,0.9354839,759,32.14156,0.0
103,True,0.9361702,850,19.50452,0.0
104,True,0.9368421,668,35.98954,0.0
105,True,0.9375,7261,17.88249,0.4354772
106,True,0.9381443,94,19.64808,0.0
107,True,0.9387755,2803,22.67935,0.07277916
108,True,0.9393939,5662,28.88978,0.04309431
109,True,0.94,1563,23.33534,0.0
110,True,0.9405941,1127,5.619723,0.9015085
111,True,0.9313725,656,13.56603,0.1128049
112,True,0.9320388,958,23.26528,0.0
113,True,0.9326923,7547,12.08554,0.4327547
114,True,0.9333333,1,22.45983,0.0
115,True,0.9339623,3975,26.47046,0.0
116,True,0.9345794,5389,27.53874,0.102802
117,True,0.9351852,344,23.16463,0.0
118,True,0.9266055,302,17.95556,0.1655629
119,True,0.9272727,5346,9.713095,0.5473251
120,True,0.9279279,963,40.44046,0.0
121,True,0.9285714,3901,25.37519,0.0
122,True,0.9292035,115,28.29187,0.0
123,True,0.9298246,6587,43.49004,0.0
124,True,0.9304348,1098,13.6644,0.0
125,True,0.9310345,1889,25.02285,0.0
126,False,0.9310345,10000,0.4483,0.9310345
127,True,0.9316239,1298,19.77586,0.0
128,True,0.9322034,6864,21.60966,0.2918124
129,True,0.9327731,3282,36.46636,0.0
130,True,0.9333333,170,31.40267,0.0
131,False,0.9333333,10000,0.9416,0.9333333
132,True,0.9256198,6906,9.389232,0.6589922
133,False,0.9256198,10000,0.5334,0.9256198
134,True,0.9262295,8804,5.150363,0.8899364
135,True,0.9268293,607,43.56528,0.0
136,True,0.9274194,43,16.21457,0.0
137,True,0.928,42,12.8003,0.0
138,False,0.928,10000,0.0126,0.928
139,True,0.9285714,5091,10.95184,0.4323316
140,True,0.9291338,2252,6.26898,0.7997336
141,True,0.9296875,3255,20.11449,0.1812596
142,True,0.9224806,345,18.12187,0.03478261
143,True,0.9230769,1343,24.43007,0.0
144,False,0.9230769,10000,0.0,0.9230769
145,True,0.9236641,1920,30.10275,0.0
146,True,0.9242424,2621,33.03214,0.0
147,True,0.924812,1063,25.50201,0.0
148,True,0.9253731,7442,11.29125,0.538968
149,True,0.9259259,3556,32.63336,0.0
150,True,0.9264706,1316,16.86952,0.0
151,True,0.919708,212,16.11454,0.0
152,True,0.9130435,520,4.129603,1.0
153,True,0.913669,4111,19.3549,0.1401119
154,True,0.9142857,2021,28.44865,0.0
155,True,0.9148936,2125,42.58808,0.0
156,True,0.915493,7221,11.3288,0.4628168
157,True,0.9090909,4192,4.675457,0.9890267
158,False,0.9090909,10000,0.7953,0.9090909
159,True,0.9097222,517,23.63526,0.0
160,True,0.9103448,1931,34.25063,0.0
161,False,0.9103448,10000,0.3762,0.9103448
162,True,0.9109589,2360,17.53633,0.01398305
163,True,0.9115646,70,30.97017,0.0
164,True,0.9121622,1400,31.70537,0.0
165,True,0.9127517,4001,42.95793,0.0
166,True,0.9133334,412,9.452411,0.4441748
167,True,0.9072848,1,8.565819,1.0
168,True,0.9078947,604,13.72463,0.06622516
169,False,0.9078947,10000,0.0,0.9078947
170,True,0.9084967,6835,11.86495,0.4633504
171,True,0.9090909,76,51.14826,0.0
172,True,0.9096774,405,16.61139,0.0
173,True,0.9102564,9355,36.61627,0.0
174,False,0.9102564,10000,0.2886,0.9102564
175,True,0.9108281,3912,28.81311,0.0
176,True,0.9113924,843,15.22869,0.0
177,False,0.9113924,10000,0.4812,0.9113924
178,True,0.9119497,5823,12.53168,0.4270994
179,True,0.9125,62,35.37132,0.0
180,False,0.9125,10000,0.4509,0.9125
181,True,0.9130435,0,,
182,True,0.9135802,8733,12.41521,0.6318562
183,True,0.9141104,3254,22.00777,0.1029502
184,True,0.9146342,3659,13.60966,0.3992894
185,True,0.9151515,1,34.5266,0.0
186,True,0.9096386,1779,17.0644,0.1793142
187,True,0.9041916,5512,7.799917,0.7082729
188,True,0.9047619,7745,20.0224,0.09399613
189,True,0.9053255,1195,34.24721,0.0
190,True,0.9058824,1280,26.56445,0.0
191,True,0.9064327,9171,42.20868,0.0
192,True,0.9069768,1149,26.67571,0.0
193,True,0.9075145,1751,30.88118,0.0
194,False,0.9075145,10000,0.5502,0.9075145
195,True,0.9080459,6111,24.19096,0.0
196,True,0.9085714,4633,36.96101,0.0
197,False,0.9085714,10000,0.6199,0.9085714
198,True,0.9090909,1626,29.14197,0.0
199,True,0.9096045,3020,34.67322,0.0
200,True,0.9101124,2813,56.46858,0.0
201,True,0.9106146,7849,9.996226,0.5163715
202,True,0.9111111,656,29.20965,0.0
203,True,0.9116022,67,18.84522,0.0
204,True,0.9120879,1632,48.8426,0.0
205,False,0.9120879,10000,0.8607,0.9120879
206,True,0.9071038,3747,16.09084,0.1329063
207,True,0.9076087,445,52.62885,0.0
208,True,0.9081081,1377,48.83482,0.0
209,True,0.9086022,86,30.81442,0.0
210,True,0.9090909,9628,32.86501,0.0
211,True,0.9095744,2644,28.46663,0.0
212,True,0.9100529,4255,27.61444,0.0
213,True,0.9105263,257,20.3219,0.0
214,True,0.9109948,193,22.30251,0.0
215,True,0.9114583,1,11.53769,0.0
216,True,0.9119171,1253,32.679,0.0
217,False,0.9119171,10000,0.1868,0.9119171
218,False,0.9119171,10000,0.0,0.9119171
219,True,0.9123712,1379,16.26132,0.3393764
220,True,0.9076923,1811,19.6525,0.002760906
221,True,0.9081632,682,34.6184,0.0
222,True,0.9086294,1521,48.68707,0.0
223,False,0.9086294,10000,0.5561,0.9086294
224,True,0.9040404,661,20.67629,0.1815431
225,True,0.9045226,671,22.92257,0.0
226,True,0.905,3550,18.16093,0.3385915
227,True,0.9054726,822,28.54031,0.0
228,True,0.9059406,5974,40.15868,0.0
229,True,0.906404,189,49.23045,0.0
230,True,0.9068627,5444,40.31382,0.0
231,True,0.9073171,916,43.29763,0.0
232,True,0.907767,9871,15.69451,0.2708945
233,True,0.9082125,845,47.44571,0.0
234,True,0.9086539,2519,18.29942,0.0
235,True,0.9043062,5,3.955747,1.0
236,True,0.9047619,7264,35.51702,0.0
237,True,0.9052133,949,34.39848,0.0
238,True,0.9056604,1369,17.38077,0.0
239,True,0.9014084,8172,7.171383,0.7771659
240,True,0.9018692,902,21.18667,0.0
241,False,0.9018692,10000,0.6915,0.9018692
242,True,0.9023256,1881,21.00596,0.0
243,True,0.9027778,4483,28.01295,0.0
244,True,0.9032258,3238,12.79021,0.2850525
245,True,0.8990825,298,21.56119,0.09731544
246,True,0.8995434,182,30.28718,0.0
247,True,0.9,150,35.68846,0.0
248,True,0.9004525,851,11.50117,0.2279671
249,True,0.9009009,623,38.16613,0.0
