episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,116,30.3731,0.0
1,True,1.0,1302,25.47081,0.0
2,True,1.0,1366,25.01266,0.0
3,True,0.75,29,7.718105,1.0
4,True,0.8,1406,19.12834,0.0
5,True,0.8333333,280,30.82198,0.0
6,True,0.8571429,2122,22.99942,0.0
7,True,0.875,59,13.98754,0.0
8,True,0.8888889,540,27.49897,0.0
9,True,0.9,519,4.731688,1.0
10,True,0.9090909,717,19.1435,0.0209205
11,True,0.9166667,679,31.49305,0.0
12,True,0.9230769,222,39.0754,0.0
13,True,0.9285714,129,25.05411,0.0
14,True,0.8666667,1514,14.54765,0.03764861
15,True,0.875,456,31.74637,0.0
16,True,0.8823529,143,26.42503,0.0
17,True,0.8333333,1645,6.867266,0.6851064
18,True,0.8421053,96,21.56366,0.0
19,True,0.85,167,15.8835,0.0
20,True,0.8571429,541,33.62701,0.0
21,True,0.8181818,1,6.988977,1.0
22,True,0.8260869,137,36.95255,0.0
23,True,0.8333333,208,14.52908,0.0
24,True,0.8,7965,2.855859,0.9814187
25,True,0.7692308,4232,2.902048,0.9997637
26,True,0.7777778,375,12.93876,0.4
27,True,0.7857143,261,27.37632,0.0
28,True,0.7586207,2356,6.202991,0.6833616
29,True,0.7666667,484,13.60003,0.0
30,True,0.7741935,1585,12.44245,0.1305994
31,True,0.78125,1386,32.6615,0.0
32,True,0.7878788,2235,3.807583,0.8885906
33,True,0.7941176,1185,27.45521,0.0
34,True,0.8,3583,20.68392,0.0
35,True,0.8055556,63,24.85515,0.0
36,True,0.8108108,158,34.16808,0.0
37,True,0.7894737,243,7.845635,0.728395
38,True,0.7948718,450,17.28376,0.0
39,True,0.8,2715,28.35535,0.0
40,True,0.7804878,2194,3.038098,0.9680948
41,True,0.7619048,614,4.345329,1.0
42,True,0.7674419,2,23.42627,0.0
43,True,0.7727273,159,13.70384,0.0
44,True,0.7777778,103,29.97897,0.0
45,True,0.7826087,87,44.06381,0.0
46,True,0.7872341,918,34.74312,0.0
47,True,0.7916667,1314,16.8728,0.0
48,True,0.7959183,911,17.95825,0.0
49,True,0.8,154,14.48852,0.0
50,True,0.8039216,836,24.33898,0.0
51,True,0.8076923,1253,28.21557,0.0
52,True,0.8113208,108,29.93501,0.0
53,True,0.7962963,2973,7.191337,0.6942483
54,True,0.7818182,1556,3.16534,0.9749357
55,True,0.7857143,299,21.86122,0.0
56,True,0.7894737,580,36.63866,0.0
57,True,0.7931035,84,29.85554,0.0
58,True,0.779661,1769,2.439469,1.0
