[Inference] c9_r2
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 303, predator_distance = 27.49826, avg_predator_distance = 28.54648, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 651, predator_distance = 22.50889, avg_predator_distance = 28.81713, predator_proximity_rate = 0, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 3, prey_survived_step = 456, predator_distance = 22.50759, avg_predator_distance = 29.74508, predator_proximity_rate = 0, score = 1
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 4, prey_survived_step = 1065, predator_distance = 27.01928, avg_predator_distance = 33.72386, predator_proximity_rate = 0, score = 1
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 5, prey_survived_step = 82, predator_distance = 24.3335, avg_predator_distance = 24.715, predator_proximity_rate = 0, score = 1
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 6, prey_survived_step = 612, predator_distance = 25.04633, avg_predator_distance = 22.02945, predator_proximity_rate = 0, score = 1
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 7, prey_survived_step = 120, predator_distance = 39.23838, avg_predator_distance = 39.55046, predator_proximity_rate = 0, score = 1
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 8, prey_survived_step = 907, predator_distance = 27.18373, avg_predator_distance = 10.56585, predator_proximity_rate = 0.477398, score = 1
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 9, prey_survived_step = 979, predator_distance = 18.46968, avg_predator_distance = 12.86676, predator_proximity_rate = 0.2706844, score = 1
[Episode 9] [capture] total_captures = 10, lone_wolf_captures = 10, prey_survived_step = 623, predator_distance = 35.32891, avg_predator_distance = 28.22749, predator_proximity_rate = 0, score = 1
[Episode 10] [capture] total_captures = 11, lone_wolf_captures = 11, prey_survived_step = 1123, predator_distance = 25.11385, avg_predator_distance = 22.24797, predator_proximity_rate = 0, score = 1
[Episode 11] [capture] total_captures = 12, lone_wolf_captures = 12, prey_survived_step = 476, predator_distance = 10.5179, avg_predator_distance = 15.95889, predator_proximity_rate = 0, score = 1
[Episode 12] [capture] total_captures = 13, lone_wolf_captures = 13, prey_survived_step = 452, predator_distance = 38.68296, avg_predator_distance = 35.02297, predator_proximity_rate = 0, score = 1
[Episode 13] [capture] total_captures = 14, lone_wolf_captures = 14, prey_survived_step = 118, predator_distance = 23.52012, avg_predator_distance = 22.7783, predator_proximity_rate = 0, score = 1
[Episode 14] [capture] total_captures = 15, lone_wolf_captures = 15, prey_survived_step = 455, predator_distance = 11.26967, avg_predator_distance = 16.35224, predator_proximity_rate = 0, score = 1
[Episode 15] [capture] total_captures = 16, lone_wolf_captures = 16, prey_survived_step = 2375, predator_distance = 32.51934, avg_predator_distance = 29.0361, predator_proximity_rate = 0, score = 1
