episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,130,30.0385,0.0
1,True,1.0,254,22.52961,0.0
2,True,1.0,962,31.8475,0.0
3,True,1.0,938,20.73298,0.0
4,True,1.0,1868,12.19437,0.5995717
5,True,1.0,259,24.15897,0.0
6,True,1.0,1021,29.76165,0.0
7,True,0.875,2746,22.50145,0.0
8,True,0.8888889,986,25.47441,0.0
9,True,0.9,1133,24.6418,0.0
10,True,0.8181818,489,9.808587,0.8834356
11,True,0.8333333,1687,28.10417,0.0
12,True,0.8461539,3255,18.17186,0.02119816
13,True,0.7857143,1802,7.135162,0.9211987
14,True,0.8,26,33.85788,0.0
15,True,0.75,974,4.0856,1.0
16,True,0.7647059,102,26.33127,0.0
17,True,0.7777778,2790,13.22513,0.2512545
18,True,0.7894737,259,26.67202,0.0
19,True,0.8,1958,33.40854,0.0
20,True,0.8095238,149,36.23628,0.0
21,True,0.7727273,322,3.8118,1.0
22,True,0.7826087,1128,19.57383,0.0
23,True,0.7916667,163,12.05915,0.5398773
24,True,0.8,1605,23.26043,0.0211838
25,True,0.7692308,86,11.39446,0.5930232
26,True,0.7777778,2192,13.44875,0.4639598
27,True,0.7857143,1258,38.36853,0.0
28,True,0.7586207,169,17.4489,0.1301775
29,True,0.7333333,2846,9.282022,0.7178496
30,True,0.7419355,1,15.089,0.0
31,True,0.75,258,30.63549,0.0
32,True,0.7575758,5329,23.538,0.0
33,True,0.7647059,3749,8.996101,0.7017871
34,True,0.7428572,800,12.15513,0.575
35,True,0.75,1431,12.98399,0.4835779
36,True,0.7567568,1764,12.81974,0.3531746
37,True,0.7631579,127,38.45805,0.0
38,True,0.7692308,153,25.29954,0.0
39,True,0.775,464,22.47241,0.0
40,True,0.7804878,123,24.41508,0.0
41,True,0.7857143,716,19.21462,0.0
42,True,0.7906977,11,36.7612,0.0
43,True,0.7954546,295,26.3608,0.0
44,True,0.8,188,10.2908,1.0
45,True,0.8043478,151,12.72447,0.4701987
46,True,0.8085107,721,25.18938,0.0
47,True,0.7916667,95,15.16669,0.04210526
48,True,0.7959183,2203,34.70883,0.0
49,True,0.78,170,13.39577,0.3411765
50,True,0.7843137,2274,18.22114,0.02066843
51,True,0.7884616,1,17.46385,0.0
52,True,0.7924528,1198,4.634352,0.9240401
53,True,0.7962963,1237,19.75748,0.0
54,True,0.8,849,19.79618,0.0
55,True,0.7857143,300,16.0136,0.22
56,True,0.7894737,129,29.37035,0.0
57,True,0.7931035,347,15.73488,0.3285303
58,True,0.7966102,167,30.32804,0.0
59,True,0.8,720,31.86431,0.0
60,True,0.7868853,30,6.836629,1.0
61,True,0.7903226,466,34.39138,0.0
62,True,0.7936508,54,28.19952,0.0
63,True,0.796875,352,33.51493,0.0
64,True,0.8,203,29.6955,0.0
65,True,0.8030303,175,15.24471,0.0
66,True,0.8059701,996,20.83639,0.0
67,True,0.7941176,1255,21.3044,0.1011952
68,True,0.7971014,413,32.37487,0.0
69,True,0.8,1557,22.50137,0.0
70,True,0.8028169,136,19.8456,0.0
71,True,0.8055556,506,24.924,0.0
72,True,0.8082192,782,6.399279,0.870844
73,True,0.8108108,135,38.3014,0.0
74,True,0.8,800,21.20618,0.08
75,True,0.7894737,1,8.032691,1.0
76,True,0.7792208,319,29.25641,0.0
77,True,0.7820513,2550,14.55963,0.2203922
78,True,0.7848101,2099,21.02845,0.0
79,True,0.7875,235,11.76578,0.6765957
80,True,0.7901235,921,15.4847,0.276873
81,True,0.7926829,686,27.93363,0.0
82,True,0.7831326,156,4.728811,1.0
83,True,0.7857143,193,33.02945,0.0
84,True,0.7764706,3689,13.35555,0.409054
85,True,0.7790698,2231,37.83457,0.0
86,True,0.7816092,1073,29.24905,0.0
87,True,0.7840909,1074,35.71039,0.0
88,True,0.7865168,702,22.67646,0.0
89,True,0.7888889,1446,26.30705,0.0
90,True,0.7912088,183,27.50346,0.0
91,True,0.7934783,774,35.35761,0.0
92,True,0.7956989,68,24.15169,0.0
93,True,0.7978724,162,20.34445,0.0
94,True,0.8,104,25.10873,0.0
95,True,0.8020833,224,24.1183,0.0
96,True,0.8041237,1678,32.33524,0.0
97,True,0.7959183,240,9.140568,0.625
98,True,0.7979798,1523,20.61365,0.0
99,True,0.8,118,16.6694,0.0
100,True,0.7920792,401,19.59186,0.1546135
101,True,0.7941176,496,19.59514,0.0
102,True,0.7961165,266,16.7266,0.0
103,True,0.7980769,1228,29.59374,0.0
104,True,0.7904762,243,8.578644,0.7325103
105,True,0.7830189,484,18.33945,0.2128099
106,True,0.7757009,6074,23.41401,0.0001646361
107,True,0.7777778,5977,23.17625,0.0
108,True,0.7798165,326,19.61425,0.0
109,True,0.7727273,2119,20.93651,0.3138273
110,True,0.7747748,390,29.33588,0.0
111,True,0.7767857,4547,14.22946,0.4246756
112,True,0.7787611,72,23.80409,0.0
113,True,0.7807018,139,20.82905,0.0
114,True,0.773913,204,4.401552,1.0
115,True,0.7672414,691,5.463465,0.934877
116,True,0.7692308,1243,32.61412,0.0
117,True,0.7711864,850,8.590735,0.8141177
118,True,0.7731093,222,15.23178,0.0
119,True,0.775,289,13.42274,0.633218
120,True,0.7768595,167,18.28981,0.0
121,True,0.7786885,1192,32.82539,0.0
122,True,0.7804878,402,37.4569,0.0
123,True,0.7822581,1352,28.63667,0.0
124,True,0.784,554,30.12229,0.0
125,True,0.7857143,692,15.95627,0.0
126,True,0.7874016,102,17.87442,0.0
127,True,0.78125,2172,4.79731,0.9709945
128,True,0.7829458,289,26.23678,0.0
129,True,0.7846154,2450,14.72268,0.3297959
130,True,0.778626,767,11.75055,0.6766623
131,True,0.780303,4760,6.777708,0.8447479
132,True,0.7744361,1483,12.867,0.4592043
133,True,0.7686567,819,23.15034,0.0
134,True,0.7629629,421,5.538795,1.0
135,True,0.7647059,2303,24.91128,0.0
136,True,0.7591241,107,15.48294,0.1121495
137,True,0.7608696,1093,38.00447,0.0
138,True,0.7625899,672,24.52024,0.0
139,True,0.7642857,770,21.59212,0.0
140,True,0.7659575,485,37.21746,0.0
141,True,0.7676057,226,32.69983,0.0
142,True,0.7692308,1452,31.12802,0.0
143,True,0.7708333,287,31.71044,0.0
144,True,0.7724138,748,13.32702,0.3569519
145,True,0.7739726,230,23.33968,0.0
146,True,0.7755102,2013,28.46994,0.0
147,True,0.7702703,582,14.929,0.03608247
148,True,0.7718121,217,42.63263,0.0
149,True,0.7733333,121,28.31592,0.0
150,True,0.7748345,305,20.45743,0.0
151,True,0.7763158,598,22.12948,0.0
152,True,0.7777778,1003,25.13397,0.0
153,True,0.7792208,363,14.76815,0.03856749
154,True,0.7806451,7997,9.279075,0.6237339
155,True,0.7820513,91,23.45154,0.0
156,True,0.7834395,674,16.58308,0.1172107
157,True,0.778481,225,3.628706,1.0
158,True,0.7735849,1671,10.48064,0.668462
159,True,0.76875,242,13.32018,0.3471074
160,True,0.7701864,1343,27.06862,0.0
161,True,0.771605,2231,20.79821,0.0
162,True,0.7730061,758,24.25767,0.0
163,True,0.7743902,543,22.74945,0.0
164,True,0.7757576,86,28.8305,0.0
