[Inference] catch_radius_9_team_reward_2
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 126, predator_distance = 30.6842, avg_predator_distance = 30.78471, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 156, predator_distance = 19.75627, avg_predator_distance = 21.74562, predator_proximity_rate = 0, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 2, prey_survived_step = 3724, predator_distance = 7.042856, avg_predator_distance = 5.913063, predator_proximity_rate = 0.6995167, score = 0.6666667
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 2, prey_survived_step = 268, predator_distance = 2.049408, avg_predator_distance = 11.83334, predator_proximity_rate = 0.2798508, score = 0.5
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 2, prey_survived_step = 2887, predator_distance = 3.35005, avg_predator_distance = 3.537815, predator_proximity_rate = 0.9120194, score = 0.4
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 2, prey_survived_step = 451, predator_distance = 2.018759, avg_predator_distance = 3.63934, predator_proximity_rate = 1, score = 0.3333333
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 2, prey_survived_step = 5105, predator_distance = 3.928316, avg_predator_distance = 3.368536, predator_proximity_rate = 0.9445642, score = 0.2857143
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 2, prey_survived_step = 683, predator_distance = 5.630043, avg_predator_distance = 3.253561, predator_proximity_rate = 1, score = 0.25
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 3, prey_survived_step = 194, predator_distance = 31.05017, avg_predator_distance = 28.26774, predator_proximity_rate = 0, score = 0.3333333
[Episode 9] [capture] total_captures = 10, lone_wolf_captures = 4, prey_survived_step = 264, predator_distance = 18.84863, avg_predator_distance = 17.36656, predator_proximity_rate = 0, score = 0.4
[Episode 10] [capture] total_captures = 11, lone_wolf_captures = 4, prey_survived_step = 263, predator_distance = 3.307586, avg_predator_distance = 18.8026, predator_proximity_rate = 0.1711027, score = 0.3636364
[Episode 11] [capture] total_captures = 12, lone_wolf_captures = 5, prey_survived_step = 237, predator_distance = 18.27267, avg_predator_distance = 17.53676, predator_proximity_rate = 0, score = 0.4166667
[Episode 12] [capture] total_captures = 13, lone_wolf_captures = 5, prey_survived_step = 1345, predator_distance = 2.826717, avg_predator_distance = 10.85536, predator_proximity_rate = 0.5486989, score = 0.3846154
[Episode 13] [capture] total_captures = 14, lone_wolf_captures = 6, prey_survived_step = 98, predator_distance = 11.06539, avg_predator_distance = 12.64501, predator_proximity_rate = 0, score = 0.4285714
[Episode 14] [capture] total_captures = 15, lone_wolf_captures = 7, prey_survived_step = 295, predator_distance = 27.15121, avg_predator_distance = 21.9625, predator_proximity_rate = 0, score = 0.4666667
[Episode 15] [capture] total_captures = 16, lone_wolf_captures = 7, prey_survived_step = 734, predator_distance = 2.6949, avg_predator_distance = 25.80149, predator_proximity_rate = 0.1144414, score = 0.4375
[Episode 16] [capture] total_captures = 17, lone_wolf_captures = 7, prey_survived_step = 602, predator_distance = 4.712073, avg_predator_distance = 6.32526, predator_proximity_rate = 0.7707641, score = 0.4117647
[Episode 17] [capture] total_captures = 18, lone_wolf_captures = 7, prey_survived_step = 2107, predator_distance = 4.10077, avg_predator_distance = 12.36194, predator_proximity_rate = 0.08068343, score = 0.3888889
[Episode 18] [capture] total_captures = 19, lone_wolf_captures = 8, prey_survived_step = 280, predator_distance = 26.55446, avg_predator_distance = 21.04739, predator_proximity_rate = 0, score = 0.4210526
[Episode 19] [capture] total_captures = 20, lone_wolf_captures = 9, prey_survived_step = 530, predator_distance = 32.63227, avg_predator_distance = 36.02194, predator_proximity_rate = 0, score = 0.45
[Episode 20] [capture] total_captures = 21, lone_wolf_captures = 10, prey_survived_step = 1463, predator_distance = 32.17341, avg_predator_distance = 35.6549, predator_proximity_rate = 0, score = 0.4761905
[Episode 21] [capture] total_captures = 22, lone_wolf_captures = 11, prey_survived_step = 4507, predator_distance = 12.28301, avg_predator_distance = 3.540407, predator_proximity_rate = 0.9230087, score = 0.5
[Episode 22] [capture] total_captures = 23, lone_wolf_captures = 11, prey_survived_step = 1037, predator_distance = 5.448953, avg_predator_distance = 3.813721, predator_proximity_rate = 0.9527483, score = 0.4782609
[Episode 23] [capture] total_captures = 24, lone_wolf_captures = 12, prey_survived_step = 89, predator_distance = 23.5011, avg_predator_distance = 23.49614, predator_proximity_rate = 0, score = 0.5
[Episode 24] [capture] total_captures = 25, lone_wolf_captures = 13, prey_survived_step = 180, predator_distance = 14.58857, avg_predator_distance = 7.857841, predator_proximity_rate = 0.6388889, score = 0.52
[Episode 25] [capture] total_captures = 26, lone_wolf_captures = 13, prey_survived_step = 351, predator_distance = 4.136749, avg_predator_distance = 3.744471, predator_proximity_rate = 1, score = 0.5
[Episode 26] [capture] total_captures = 27, lone_wolf_captures = 14, prey_survived_step = 37, predator_distance = 45.24164, avg_predator_distance = 43.60785, predator_proximity_rate = 0, score = 0.5185185
[Episode 27] [capture] total_captures = 28, lone_wolf_captures = 15, prey_survived_step = 513, predator_distance = 9.334551, avg_predator_distance = 13.79938, predator_proximity_rate = 0.2183236, score = 0.5357143
[Episode 28] [capture] total_captures = 29, lone_wolf_captures = 16, prey_survived_step = 198, predator_distance = 24.47085, avg_predator_distance = 27.13252, predator_proximity_rate = 0, score = 0.5517241
[Episode 29] [capture] total_captures = 30, lone_wolf_captures = 16, prey_survived_step = 1036, predator_distance = 6.502838, avg_predator_distance = 6.889878, predator_proximity_rate = 0.7635135, score = 0.5333334
[Episode 30] [capture] total_captures = 31, lone_wolf_captures = 17, prey_survived_step = 157, predator_distance = 12.02414, avg_predator_distance = 14.25936, predator_proximity_rate = 0, score = 0.5483871
[Episode 31] [capture] total_captures = 32, lone_wolf_captures = 18, prey_survived_step = 2522, predator_distance = 29.85775, avg_predator_distance = 27.07403, predator_proximity_rate = 0, score = 0.5625
[Episode 32] [capture] total_captures = 33, lone_wolf_captures = 19, prey_survived_step = 671, predator_distance = 31.89415, avg_predator_distance = 23.60546, predator_proximity_rate = 0, score = 0.5757576
[Episode 33] [capture] total_captures = 34, lone_wolf_captures = 20, prey_survived_step = 524, predator_distance = 24.31519, avg_predator_distance = 21.44708, predator_proximity_rate = 0, score = 0.5882353
[Episode 34] [capture] total_captures = 35, lone_wolf_captures = 21, prey_survived_step = 624, predator_distance = 28.69662, avg_predator_distance = 29.77484, predator_proximity_rate = 0, score = 0.6
[Episode 35] [capture] total_captures = 36, lone_wolf_captures = 21, prey_survived_step = 1530, predator_distance = 3.380098, avg_predator_distance = 3.849343, predator_proximity_rate = 0.8973856, score = 0.5833333
[Episode 36] [capture] total_captures = 37, lone_wolf_captures = 22, prey_survived_step = 556, predator_distance = 31.06335, avg_predator_distance = 29.40171, predator_proximity_rate = 0, score = 0.5945946
[Episode 37] [capture] total_captures = 38, lone_wolf_captures = 22, prey_survived_step = 1635, predator_distance = 4.267109, avg_predator_distance = 3.407421, predator_proximity_rate = 0.9798165, score = 0.5789474
[Episode 38] [capture] total_captures = 39, lone_wolf_captures = 23, prey_survived_step = 643, predator_distance = 21.23685, avg_predator_distance = 13.83065, predator_proximity_rate = 0, score = 0.5897436
[Episode 39] [capture] total_captures = 40, lone_wolf_captures = 23, prey_survived_step = 1774, predator_distance = 6.450705, avg_predator_distance = 4.185884, predator_proximity_rate = 0.9239008, score = 0.575
[Episode 40] [timeout] total_captures = 40, lone_wolf_captures = 23, prey_survived_step = 10000, avg_predator_distance = 2.698958, predator_proximity_rate = 0.9822, score = 0.575
[Episode 41] [capture] total_captures = 41, lone_wolf_captures = 24, prey_survived_step = 348, predator_distance = 18.79933, avg_predator_distance = 13.12211, predator_proximity_rate = 0, score = 0.5853658
[Episode 42] [capture] total_captures = 42, lone_wolf_captures = 24, prey_survived_step = 1679, predator_distance = 6.574035, avg_predator_distance = 6.147821, predator_proximity_rate = 0.8243002, score = 0.5714286
[Episode 43] [capture] total_captures = 43, lone_wolf_captures = 24, prey_survived_step = 2540, predator_distance = 6.02211, avg_predator_distance = 3.584449, predator_proximity_rate = 1, score = 0.5581396
[Episode 44] [capture] total_captures = 44, lone_wolf_captures = 24, prey_survived_step = 3602, predator_distance = 2.786463, avg_predator_distance = 5.268922, predator_proximity_rate = 0.8339811, score = 0.5454546
[Episode 45] [capture] total_captures = 45, lone_wolf_captures = 25, prey_survived_step = 37, predator_distance = 23.79173, avg_predator_distance = 23.3217, predator_proximity_rate = 0, score = 0.5555556
[Episode 46] [capture] total_captures = 46, lone_wolf_captures = 26, prey_survived_step = 152, predator_distance = 18.1896, avg_predator_distance = 21.69855, predator_proximity_rate = 0, score = 0.5652174
[Episode 47] [capture] total_captures = 47, lone_wolf_captures = 27, prey_survived_step = 100, predator_distance = 12.45026, avg_predator_distance = 13.66814, predator_proximity_rate = 0, score = 0.5744681
[Episode 48] [capture] total_captures = 48, lone_wolf_captures = 28, prey_survived_step = 581, predator_distance = 25.5903, avg_predator_distance = 20.08805, predator_proximity_rate = 0, score = 0.5833333
[Episode 49] [capture] total_captures = 49, lone_wolf_captures = 29, prey_survived_step = 47, predator_distance = 23.28605, avg_predator_distance = 23.4856, predator_proximity_rate = 0, score = 0.5918368
[Episode 50] [capture] total_captures = 50, lone_wolf_captures = 30, prey_survived_step = 846, predator_distance = 28.13786, avg_predator_distance = 29.81239, predator_proximity_rate = 0, score = 0.6
[Episode 51] [capture] total_captures = 51, lone_wolf_captures = 30, prey_survived_step = 3370, predator_distance = 5.980605, avg_predator_distance = 5.521738, predator_proximity_rate = 0.7881306, score = 0.5882353
[Episode 52] [capture] total_captures = 52, lone_wolf_captures = 31, prey_survived_step = 1525, predator_distance = 21.30536, avg_predator_distance = 30.08895, predator_proximity_rate = 0, score = 0.5961539
[Episode 53] [capture] total_captures = 53, lone_wolf_captures = 32, prey_survived_step = 1, predator_distance = 28.23144, avg_predator_distance = 28.17942, predator_proximity_rate = 0, score = 0.6037736
[Episode 54] [capture] total_captures = 54, lone_wolf_captures = 33, prey_survived_step = 396, predator_distance = 31.04133, avg_predator_distance = 25.27391, predator_proximity_rate = 0, score = 0.6111111
[Episode 55] [capture] total_captures = 55, lone_wolf_captures = 34, prey_survived_step = 781, predator_distance = 34.28695, avg_predator_distance = 26.70377, predator_proximity_rate = 0, score = 0.6181818
[Episode 56] [capture] total_captures = 56, lone_wolf_captures = 34, prey_survived_step = 3873, predator_distance = 4.028427, avg_predator_distance = 5.59938, predator_proximity_rate = 0.6720888, score = 0.6071429
[Episode 57] [capture] total_captures = 57, lone_wolf_captures = 35, prey_survived_step = 3146, predator_distance = 28.52691, avg_predator_distance = 32.12657, predator_proximity_rate = 0, score = 0.6140351
[Episode 58] [capture] total_captures = 58, lone_wolf_captures = 36, prey_survived_step = 1297, predator_distance = 27.65119, avg_predator_distance = 29.42027, predator_proximity_rate = 0, score = 0.6206896
[Episode 59] [capture] total_captures = 59, lone_wolf_captures = 36, prey_survived_step = 137, predator_distance = 5.364429, avg_predator_distance = 8.752345, predator_proximity_rate = 0.540146, score = 0.6101695
[Episode 60] [capture] total_captures = 60, lone_wolf_captures = 37, prey_survived_step = 886, predator_distance = 11.34081, avg_predator_distance = 3.932751, predator_proximity_rate = 0.9367946, score = 0.6166667
[Episode 61] [capture] total_captures = 61, lone_wolf_captures = 38, prey_survived_step = 226, predator_distance = 33.53189, avg_predator_distance = 33.7166, predator_proximity_rate = 0, score = 0.6229508
[Episode 62] [capture] total_captures = 62, lone_wolf_captures = 39, prey_survived_step = 978, predator_distance = 26.19781, avg_predator_distance = 33.44167, predator_proximity_rate = 0, score = 0.6290323
[Episode 63] [capture] total_captures = 63, lone_wolf_captures = 40, prey_survived_step = 675, predator_distance = 23.23229, avg_predator_distance = 27.84609, predator_proximity_rate = 0, score = 0.6349207
[Episode 64] [capture] total_captures = 64, lone_wolf_captures = 41, prey_survived_step = 1433, predator_distance = 33.39231, avg_predator_distance = 26.25411, predator_proximity_rate = 0, score = 0.640625
[Episode 65] [capture] total_captures = 65, lone_wolf_captures = 42, prey_survived_step = 281, predator_distance = 49.91371, avg_predator_distance = 46.77069, predator_proximity_rate = 0, score = 0.6461539
[Episode 66] [capture] total_captures = 66, lone_wolf_captures = 43, prey_survived_step = 350, predator_distance = 14.99197, avg_predator_distance = 27.42372, predator_proximity_rate = 0, score = 0.6515151
[Episode 67] [capture] total_captures = 67, lone_wolf_captures = 44, prey_survived_step = 50, predator_distance = 15.62894, avg_predator_distance = 16.32175, predator_proximity_rate = 0, score = 0.6567164
[Episode 68] [capture] total_captures = 68, lone_wolf_captures = 45, prey_survived_step = 1414, predator_distance = 12.13432, avg_predator_distance = 2.976839, predator_proximity_rate = 0.9780764, score = 0.6617647
[Episode 69] [capture] total_captures = 69, lone_wolf_captures = 46, prey_survived_step = 86, predator_distance = 37.7508, avg_predator_distance = 38.92162, predator_proximity_rate = 0, score = 0.6666667
[Episode 70] [capture] total_captures = 70, lone_wolf_captures = 47, prey_survived_step = 179, predator_distance = 40.51351, avg_predator_distance = 37.3207, predator_proximity_rate = 0, score = 0.6714286
[Episode 71] [capture] total_captures = 71, lone_wolf_captures = 48, prey_survived_step = 3335, predator_distance = 24.25991, avg_predator_distance = 23.28734, predator_proximity_rate = 0, score = 0.6760563
[Episode 72] [capture] total_captures = 72, lone_wolf_captures = 49, prey_survived_step = 106, predator_distance = 27.00685, avg_predator_distance = 27.40363, predator_proximity_rate = 0, score = 0.6805556
[Episode 73] [capture] total_captures = 73, lone_wolf_captures = 50, prey_survived_step = 152, predator_distance = 13.06781, avg_predator_distance = 17.44796, predator_proximity_rate = 0, score = 0.6849315
[Episode 74] [capture] total_captures = 74, lone_wolf_captures = 51, prey_survived_step = 791, predator_distance = 24.92469, avg_predator_distance = 28.17747, predator_proximity_rate = 0, score = 0.6891892
[Episode 75] [capture] total_captures = 75, lone_wolf_captures = 52, prey_survived_step = 156, predator_distance = 27.34406, avg_predator_distance = 28.4641, predator_proximity_rate = 0, score = 0.6933333
[Episode 76] [capture] total_captures = 76, lone_wolf_captures = 52, prey_survived_step = 346, predator_distance = 3.383476, avg_predator_distance = 3.499248, predator_proximity_rate = 1, score = 0.6842105
[Episode 77] [capture] total_captures = 77, lone_wolf_captures = 52, prey_survived_step = 634, predator_distance = 5.780474, avg_predator_distance = 6.375331, predator_proximity_rate = 0.6214511, score = 0.6753247
[Episode 78] [capture] total_captures = 78, lone_wolf_captures = 52, prey_survived_step = 2033, predator_distance = 8.437437, avg_predator_distance = 2.859832, predator_proximity_rate = 0.9867191, score = 0.6666667
[Episode 79] [capture] total_captures = 79, lone_wolf_captures = 52, prey_survived_step = 126, predator_distance = 6.007888, avg_predator_distance = 5.762663, predator_proximity_rate = 1, score = 0.6582279
[Episode 80] [capture] total_captures = 80, lone_wolf_captures = 53, prey_survived_step = 127, predator_distance = 17.18759, avg_predator_distance = 13.18786, predator_proximity_rate = 0, score = 0.6625
[Episode 81] [capture] total_captures = 81, lone_wolf_captures = 53, prey_survived_step = 291, predator_distance = 3.283607, avg_predator_distance = 5.204952, predator_proximity_rate = 0.8075601, score = 0.654321
[Episode 82] [capture] total_captures = 82, lone_wolf_captures = 54, prey_survived_step = 1352, predator_distance = 28.31247, avg_predator_distance = 27.94561, predator_proximity_rate = 0, score = 0.6585366
[Episode 83] [capture] total_captures = 83, lone_wolf_captures = 54, prey_survived_step = 951, predator_distance = 4.878904, avg_predator_distance = 5.576487, predator_proximity_rate = 0.7108307, score = 0.6506024
[Episode 84] [capture] total_captures = 84, lone_wolf_captures = 55, prey_survived_step = 227, predator_distance = 29.79253, avg_predator_distance = 34.77624, predator_proximity_rate = 0, score = 0.6547619
[Episode 85] [capture] total_captures = 85, lone_wolf_captures = 56, prey_survived_step = 2537, predator_distance = 23.17409, avg_predator_distance = 17.21935, predator_proximity_rate = 0, score = 0.6588235
[Episode 86] [capture] total_captures = 86, lone_wolf_captures = 57, prey_survived_step = 861, predator_distance = 33.98149, avg_predator_distance = 35.87249, predator_proximity_rate = 0, score = 0.6627907
[Episode 87] [capture] total_captures = 87, lone_wolf_captures = 58, prey_survived_step = 736, predator_distance = 24.38828, avg_predator_distance = 31.661, predator_proximity_rate = 0, score = 0.6666667
[Episode 88] [capture] total_captures = 88, lone_wolf_captures = 58, prey_survived_step = 872, predator_distance = 7.075022, avg_predator_distance = 15.15981, predator_proximity_rate = 0.02752294, score = 0.6590909
[Episode 89] [capture] total_captures = 89, lone_wolf_captures = 59, prey_survived_step = 266, predator_distance = 26.30181, avg_predator_distance = 26.98501, predator_proximity_rate = 0, score = 0.6629214
