episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,206,27.72042,0.0
1,True,1.0,400,27.47846,0.0
2,True,1.0,60,32.71325,0.0
3,True,1.0,252,21.81732,0.0
4,True,1.0,2629,33.38941,0.0
5,True,1.0,1281,38.54014,0.0
6,True,1.0,610,31.93321,0.0
7,True,1.0,706,23.95726,0.0
8,True,1.0,1766,11.54405,0.0
9,True,1.0,183,22.35537,0.0
10,True,1.0,314,14.9034,0.0
11,True,1.0,102,11.3631,0.0
12,True,1.0,3684,22.82017,0.0
13,True,1.0,3838,2.888999,0.9648255
14,True,0.9333333,1563,18.0746,0.01087652
15,True,0.9375,516,16.2154,0.0
16,True,0.9411765,838,14.82763,0.0
17,True,0.8888889,2699,11.66072,0.01000371
18,True,0.8421053,2063,5.375894,0.7367911
19,True,0.85,580,29.22368,0.0
20,True,0.8571429,309,16.50989,0.0
21,True,0.8636364,106,35.86879,0.0
22,True,0.8695652,289,24.95488,0.0
23,True,0.875,177,22.80361,0.0
24,True,0.88,407,22.9914,0.0
25,True,0.8846154,42,21.85481,0.0
26,True,0.8888889,1403,8.89033,0.5716322
27,True,0.8928571,945,23.64774,0.0
28,True,0.8965517,1372,20.74388,0.0
29,True,0.8666667,1312,3.072085,0.9199695
30,True,0.8709677,471,3.748741,0.9384289
31,True,0.875,585,14.32547,0.0
32,True,0.8787879,174,25.34336,0.0
33,True,0.8823529,735,5.848266,0.6272109
34,True,0.8857143,319,37.70771,0.0
35,True,0.8611111,2130,8.482187,0.6596244
36,True,0.8648649,106,24.90959,0.0
37,True,0.8684211,215,18.52158,0.0
38,True,0.8717949,455,39.28228,0.0
39,True,0.875,638,12.7729,0.0
40,True,0.8780488,1536,18.0191,0.0
41,True,0.8809524,658,17.96156,0.0
42,True,0.8837209,564,24.1148,0.0
43,True,0.8863636,2021,25.42763,0.0
44,True,0.8888889,319,33.59693,0.0
45,True,0.8913044,174,32.57907,0.0
46,True,0.893617,233,34.90327,0.0
47,True,0.8958333,645,6.395091,0.468217
48,True,0.877551,351,4.46588,0.6780627
49,True,0.88,87,22.29326,0.0
50,True,0.8823529,391,23.14746,0.0
51,True,0.8846154,64,23.26276,0.0
52,True,0.8867925,1505,33.80472,0.0
53,True,0.8888889,179,25.59769,0.0
54,True,0.8909091,1168,3.490141,0.8981164
55,True,0.8928571,1052,2.673462,1.0
56,True,0.8947368,343,37.64,0.0
57,True,0.8965517,241,25.16523,0.0
58,True,0.8983051,1337,19.90663,0.0
59,True,0.9,1288,3.205806,0.9192547
60,True,0.9016393,3137,4.344383,0.9171183
61,True,0.9032258,1988,23.41243,0.0
62,True,0.8888889,141,8.210601,0.3404255
63,True,0.890625,56,17.98827,0.0
64,True,0.8923077,643,37.65812,0.0
65,True,0.8939394,466,12.15453,0.0
66,True,0.8955224,253,24.57508,0.0
67,True,0.8970588,195,27.11662,0.0
68,True,0.8985507,1689,23.47457,0.0
69,True,0.9,382,12.85177,0.0
70,True,0.9014084,413,33.16206,0.0
71,True,0.9027778,1038,23.06606,0.0
72,True,0.9041096,277,20.58227,0.0
73,True,0.9054054,853,12.80257,0.0
74,True,0.9066667,137,23.35023,0.0
75,True,0.9078947,120,18.66207,0.0
76,True,0.9090909,460,5.482062,0.6782609
77,True,0.8974359,1524,5.763073,0.7473753
78,True,0.8987342,212,27.85227,0.0
79,True,0.8875,1040,4.497181,0.7817308
80,True,0.8888889,2483,22.78627,0.0
81,True,0.8780488,171,6.462147,0.3859649
82,True,0.8795181,2106,20.37678,0.0
83,True,0.8690476,539,4.822927,0.7235622
84,True,0.8588235,3783,3.386395,0.9003437
85,True,0.8604651,3579,23.55982,0.0
86,True,0.862069,2009,3.580574,0.9193628
87,True,0.8636364,2836,26.85161,0.0
88,True,0.8539326,848,9.970078,0.2334906
89,True,0.8555555,2221,28.23864,0.0
90,True,0.8571429,235,14.94434,0.0
91,True,0.8586956,1284,26.65147,0.0
92,True,0.8602151,453,18.86031,0.0
93,True,0.8510638,6235,2.654241,0.9935846
94,True,0.8526316,213,20.90526,0.0
95,True,0.8541667,245,28.92326,0.0
96,True,0.8453608,147,10.078,0.3333333
97,True,0.8469388,1585,15.36896,0.0
98,True,0.8484849,3169,7.129105,0.5345535
99,True,0.85,225,7.020699,0.02222222
100,True,0.8514851,2605,3.713362,0.8575816
101,True,0.8529412,3584,2.850992,0.9720982
102,True,0.8543689,191,13.12166,0.0
103,True,0.8557692,585,22.88356,0.0
104,True,0.8571429,54,17.21853,0.0
105,True,0.8490566,6818,5.805264,0.8194485
106,True,0.8504673,319,9.709042,0.3510972
107,True,0.8518519,423,16.50088,0.0
108,True,0.853211,473,10.37298,0.2473573
109,True,0.8545455,238,22.00459,0.0
110,True,0.8558559,203,24.85075,0.0
111,True,0.8571429,678,6.007482,0.6342183
112,True,0.8495575,2860,9.654481,0.3982517
113,True,0.8508772,48,27.69466,0.0
114,True,0.8521739,1293,27.37855,0.0
115,True,0.8534483,1793,19.60701,0.0
116,True,0.8547009,93,27.43772,0.0
117,True,0.8559322,2261,13.4442,0.3100398
118,True,0.8571429,1411,23.26561,0.0
119,True,0.8583333,138,17.71702,0.0
120,True,0.8512397,1446,4.289939,0.8692946
121,True,0.852459,741,3.143502,0.9919028
122,True,0.8536586,304,19.11152,0.0
123,True,0.8548387,985,16.24391,0.0
124,True,0.856,358,36.05018,0.0
125,True,0.8571429,371,30.67152,0.0
126,True,0.8582677,1312,40.54121,0.0
127,True,0.859375,1017,12.53201,0.0
128,True,0.8604651,763,23.73275,0.0
129,True,0.8615385,37,30.53916,0.0
130,True,0.8625954,394,22.54492,0.0
131,True,0.8636364,675,24.30337,0.0
132,True,0.8646616,333,32.87313,0.0
133,True,0.8656716,244,22.08401,0.0
134,True,0.8666667,196,27.84718,0.0
135,True,0.8676471,1575,8.175426,0.4609524
136,True,0.8613139,2031,3.262852,0.8675529
137,True,0.8623188,576,19.48731,0.0
138,True,0.8633093,502,31.63974,0.0
139,True,0.8642857,1932,19.68295,0.0
140,True,0.8652482,718,8.131558,0.2841226
141,True,0.8661972,715,29.75142,0.0
142,True,0.8601398,2740,2.838363,0.9879562
143,True,0.8611111,172,10.99088,0.0
144,True,0.862069,2443,20.21686,0.0
145,True,0.8630137,445,26.4423,0.0
146,True,0.8639456,331,25.84713,0.0
147,True,0.8648649,1210,28.32952,0.0
148,True,0.8657718,3414,2.853654,0.9689514
149,True,0.8666667,285,15.33582,0.0
150,True,0.8675497,320,22.62732,0.0
151,True,0.8684211,656,14.76876,0.0
152,True,0.8692811,391,3.034748,1.0
153,True,0.8701299,1051,25.97551,0.0
154,True,0.8709677,1128,28.36264,0.0
155,True,0.8717949,198,14.34854,0.0
156,True,0.8726115,132,23.76745,0.0
157,True,0.8734177,198,21.97099,0.0
158,True,0.8742138,1562,29.58616,0.0
159,True,0.86875,2444,2.785623,0.9971358
160,True,0.8695652,322,20.10494,0.0
161,True,0.8703704,901,30.0957,0.0
162,True,0.8711656,4891,20.03201,0.0
163,True,0.8719512,336,17.81909,0.0
164,True,0.8727273,944,34.61106,0.0
165,True,0.873494,39,11.20114,0.0
166,True,0.8682635,3238,3.029437,0.9351451
167,True,0.8690476,69,30.47164,0.0
168,True,0.8639053,296,25.557,0.006756757
169,True,0.8647059,121,26.04674,0.0
170,True,0.8596491,3235,2.822963,0.992272
171,True,0.8604651,48,19.68594,0.0
172,True,0.8554913,3850,2.663361,1.0
173,True,0.8563218,604,22.13543,0.0
174,True,0.8571429,1547,26.66624,0.0
175,True,0.8522727,1583,3.390195,0.8938724
176,True,0.8531073,2488,23.0277,0.0
177,True,0.8539326,701,8.633209,0.3880171
178,True,0.8547486,488,30.22289,0.0
179,True,0.8555555,598,22.28109,0.0
180,True,0.8508287,1160,4.527746,0.7577586
181,True,0.8516483,171,38.95274,0.0
182,True,0.852459,137,32.57816,0.0
183,True,0.8478261,5662,2.858,0.9886966
184,True,0.8486487,387,8.252951,0.0
185,True,0.8494624,2709,4.641469,0.8028793
186,True,0.8502674,1410,2.950716,0.9567376
187,True,0.8510638,5182,3.622246,0.9303358
188,True,0.8518519,397,32.17368,0.0
189,True,0.8473684,4209,3.289665,0.9356142
190,True,0.8481675,57,23.96331,0.0
191,True,0.8489583,460,23.3182,0.0
192,True,0.8497409,71,7.318635,0.0
193,True,0.8505155,1165,25.25267,0.0
194,True,0.8512821,399,34.90283,0.0
195,True,0.8520408,329,10.76309,0.0
196,True,0.8527919,499,29.0124,0.0
197,True,0.8535354,1142,37.98264,0.0
198,True,0.8542714,3688,4.412429,0.8901844
199,True,0.855,279,27.17879,0.0
200,True,0.8557214,2001,27.88552,0.0
201,True,0.8564357,516,5.410073,0.624031
202,True,0.8522167,3376,2.95908,0.9638625
203,True,0.8529412,96,16.47528,0.0
204,True,0.8536586,1496,28.34348,0.0
205,True,0.8495145,832,8.959495,0.4423077
206,True,0.8502415,1041,26.08144,0.0
207,True,0.8509616,438,23.06635,0.0
208,True,0.8516746,143,24.34254,0.0
209,True,0.8476191,439,5.59619,0.5034168
210,True,0.8483412,107,18.98287,0.0
211,True,0.8490566,1601,15.44456,0.0
212,True,0.8450704,5914,3.224205,0.9394657
213,True,0.8457944,79,26.04462,0.0
214,True,0.8418605,475,19.59199,0.1705263
215,True,0.8425926,387,14.19401,0.0
216,True,0.843318,277,19.69835,0.0
217,True,0.8440367,1498,19.47926,0.0
218,True,0.8447489,536,30.71292,0.0
219,True,0.8454546,1038,22.1392,0.0
220,True,0.8461539,628,12.57455,0.0
221,True,0.8468468,597,21.01082,0.0
222,True,0.8475336,294,29.23661,0.0
223,True,0.8482143,307,26.35619,0.0
224,True,0.8488889,675,27.97581,0.0
225,True,0.8495575,491,30.66247,0.0
226,True,0.8502203,392,25.04802,0.0
227,True,0.8508772,49,16.53292,0.0
228,True,0.8515284,138,26.25198,0.0
229,True,0.8521739,1,26.93333,0.0
230,True,0.8528138,72,16.53457,0.0
231,True,0.8491379,1834,5.647617,0.8102508
232,True,0.8497854,2497,15.7509,0.1585903
233,True,0.8461539,2459,4.75387,0.8125254
234,True,0.8468085,173,44.14675,0.0
235,True,0.8432204,1133,12.76413,0.419241
236,True,0.8438818,630,5.797087,0.7571428
237,True,0.8445378,194,10.75006,0.0
238,True,0.8451883,1614,23.32197,0.0
239,True,0.8458334,2316,12.95745,0.0
240,True,0.846473,275,14.62695,0.0
241,True,0.8471074,938,10.67166,0.0
242,True,0.8477366,85,26.37977,0.0
243,True,0.8483607,401,12.96027,0.0
244,True,0.8489796,158,11.90819,0.0
245,True,0.8495935,386,27.25882,0.0
246,True,0.8502024,398,41.83527,0.0
247,True,0.8508065,136,26.21654,0.0
248,True,0.8473896,3195,13.29557,0.3029734
249,True,0.844,5621,3.189234,0.9434264
