episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,91,24.94871,0.0
1,True,1.0,2217,12.72682,0.5719441
2,True,0.6666667,455,29.23504,0.0
3,True,0.75,121,14.38945,0.0
4,True,0.8,537,23.51091,0.0
5,True,0.8333333,365,20.97961,0.0
6,True,0.8571429,117,12.96303,0.0
7,True,0.875,614,20.23146,0.0
8,True,0.8888889,3457,3.439135,0.8472664
9,True,0.9,653,28.79028,0.0
10,True,0.9090909,659,26.21383,0.0
11,True,0.9166667,1196,17.46311,0.0
12,True,0.9230769,640,4.788706,0.696875
13,True,0.9285714,54,32.5252,0.0
14,True,0.9333333,275,32.19826,0.0
15,True,0.9375,1383,22.36889,0.0
16,True,0.9411765,316,10.24342,0.0
17,True,0.9444444,225,22.72466,0.0
18,True,0.9473684,260,22.42047,0.0
19,True,0.95,223,13.12621,0.0
20,True,0.952381,414,32.45823,0.0
21,True,0.9545454,199,28.0479,0.0
22,True,0.9565217,327,32.53253,0.0
23,True,0.9583333,482,29.99781,0.0
24,True,0.96,1952,2.583165,0.9544057
25,True,0.9615384,568,4.166145,0.790493
26,True,0.962963,2,24.73532,0.0
27,True,0.9642857,253,40.83572,0.0
28,True,0.9310345,5716,7.781254,0.6709237
29,True,0.9333333,193,13.4739,0.0
30,True,0.9354839,169,28.10007,0.0
31,True,0.9375,730,27.376,0.0
32,True,0.9393939,59,36.98762,0.0
33,True,0.9411765,119,11.57938,0.0
34,True,0.9428571,84,31.12415,0.0
35,True,0.9166667,4418,2.136786,1.0
36,True,0.9189189,95,22.92293,0.0
37,True,0.8947368,3229,17.99639,0.274698
38,True,0.8974359,256,21.6464,0.0
39,True,0.9,446,29.28988,0.0
40,True,0.902439,260,37.30256,0.0
41,True,0.8809524,1706,2.931034,0.9220399
42,True,0.8837209,144,30.48866,0.0
43,True,0.8863636,3259,31.67925,0.0
44,True,0.8888889,130,18.7748,0.0
45,True,0.8913044,236,28.82158,0.0
46,True,0.893617,955,36.33741,0.0
47,True,0.8958333,441,28.73388,0.0
48,True,0.8979592,1316,3.532367,0.7758359
49,True,0.9,377,11.42257,0.0
50,True,0.9019608,722,33.82497,0.0
51,True,0.9038461,1,17.00163,0.0
52,True,0.8867925,2037,23.05298,0.03485518
53,True,0.8888889,794,15.00644,0.0
54,True,0.8909091,111,27.21376,0.0
55,True,0.8928571,124,24.61391,0.0
56,True,0.8947368,776,28.62885,0.0
57,True,0.8965517,2291,5.060297,0.7699695
58,True,0.8983051,280,22.36896,0.0
59,True,0.9,3300,37.06448,0.0
60,True,0.9016393,227,22.74225,0.0
61,True,0.9032258,1,6.934492,0.0
62,True,0.9047619,1391,41.61895,0.0
63,True,0.90625,286,8.286681,0.04545455
64,True,0.9076923,1148,33.38875,0.0
65,True,0.8939394,1337,4.676429,0.7524308
66,True,0.8955224,219,29.08865,0.0
67,True,0.8970588,336,17.21834,0.0
68,True,0.884058,6585,9.746202,0.6280941
69,True,0.8857143,57,22.29977,0.0
70,True,0.8873239,87,14.02635,0.0
71,True,0.875,3225,1.998136,1.0
72,True,0.8767123,33,19.25653,0.0
73,True,0.8783784,1085,33.1308,0.0
74,True,0.88,617,31.55121,0.0
75,True,0.8815789,1381,31.30507,0.0
76,True,0.8831169,339,21.32261,0.0
77,True,0.8846154,210,13.51147,0.0
78,True,0.886076,686,19.17788,0.0
79,True,0.875,255,4.507981,0.8156863
80,True,0.8765432,8627,2.784604,0.9476063
81,True,0.8780488,2417,39.46668,0.0
82,True,0.8674699,157,9.286265,0.2356688
83,True,0.8690476,665,33.2698,0.0
84,True,0.8705882,57,21.65513,0.0
85,True,0.872093,341,6.989292,0.4017595
86,True,0.8735632,200,17.86683,0.0
87,True,0.875,2340,3.621787,0.8888889
88,True,0.8651685,2967,27.56365,0.02763734
89,True,0.8555555,0,,
90,True,0.8571429,194,23.62515,0.0
91,True,0.8586956,3293,10.30217,0.5253568
92,True,0.8602151,152,25.57394,0.0
93,True,0.8617021,365,22.20988,0.0
94,True,0.8526316,3603,2.942415,0.9153483
95,True,0.8541667,281,20.72199,0.0
96,True,0.8556701,1522,30.08108,0.0
97,True,0.8571429,150,16.35055,0.0
98,True,0.8585858,93,9.162253,0.1612903
99,True,0.86,625,23.65355,0.0
100,True,0.8514851,224,3.771421,1.0
101,True,0.8529412,70,13.77277,0.0
102,True,0.8543689,364,12.02988,0.1401099
103,True,0.8557692,863,26.85136,0.0
104,True,0.8571429,1119,33.45626,0.0
105,True,0.8584906,224,13.19452,0.0
106,True,0.8504673,3095,10.66484,0.4213247
107,True,0.8518519,372,24.61996,0.0
108,True,0.853211,314,39.28688,0.0
109,True,0.8545455,387,16.92775,0.0
110,True,0.8558559,642,26.74957,0.0
111,True,0.8571429,152,39.36567,0.0
112,True,0.8584071,293,20.97117,0.0
113,True,0.8596491,238,34.9253,0.0
114,True,0.8608696,1661,23.33986,0.0
115,True,0.862069,1501,27.70004,0.0
116,True,0.8547009,2382,9.908491,0.406801
117,True,0.8559322,168,10.12711,0.0
118,True,0.8571429,31,30.61727,0.0
119,True,0.8583333,1404,34.42989,0.0
120,True,0.8595041,369,22.12991,0.0
121,True,0.852459,1122,5.812491,0.7459893
122,True,0.8536586,562,5.803549,0.5533808
123,True,0.8548387,755,2.484565,0.9801325
124,True,0.856,387,21.98045,0.0
125,True,0.8571429,134,30.13675,0.0
126,True,0.8503937,760,7.317779,0.1907895
127,True,0.8515625,206,13.73635,0.0
128,True,0.8527132,677,19.13513,0.0
129,True,0.8538461,231,15.15354,0.0
130,True,0.8549618,1260,22.80738,0.0
131,True,0.8560606,309,31.23084,0.0
132,True,0.849624,1046,14.46351,0.3068834
133,True,0.8507463,84,26.12705,0.0
134,True,0.8518519,261,24.35328,0.0
135,True,0.8529412,3184,15.26054,0.1573492
136,True,0.8467153,164,12.4011,0.2926829
137,True,0.8478261,617,33.41921,0.0
138,True,0.8489209,339,36.26107,0.0
139,True,0.85,256,9.816661,0.0
140,True,0.8510638,851,28.69843,0.0
141,True,0.8521127,574,24.1883,0.01393728
142,True,0.8531469,219,12.99307,0.0
143,True,0.8541667,1936,27.45791,0.0
144,True,0.8551724,513,14.19406,0.0
145,True,0.849315,203,9.149083,0.3054187
146,True,0.8435374,2301,3.218719,0.9500217
147,True,0.8445946,270,22.9507,0.0
148,True,0.8456376,2094,11.36089,0.5663801
149,True,0.8466667,90,12.1537,0.0
150,True,0.8476821,298,19.97504,0.0
151,True,0.8486842,68,16.59404,0.0
152,True,0.8496732,221,24.70053,0.0
153,True,0.8441558,2864,2.061425,1.0
154,True,0.8451613,204,20.7272,0.0
155,True,0.8461539,574,33.75729,0.0
156,True,0.8471338,1870,17.87188,0.1406417
157,True,0.8481013,235,19.7489,0.0
158,True,0.8427673,2078,3.528044,0.892204
159,True,0.84375,187,11.13789,0.0
160,True,0.8385093,35,2.920241,1.0
161,True,0.8333333,367,8.679379,0.4250681
162,True,0.8343558,89,7.428701,0.258427
163,True,0.8353658,615,24.99687,0.0
164,True,0.8363636,223,11.75069,0.0
165,True,0.8313253,926,3.243261,0.9352052
166,True,0.8263473,0,,
167,True,0.827381,190,24.65923,0.0
168,True,0.8284023,356,11.46802,0.0
169,True,0.8235294,2208,3.577574,0.8609601
170,True,0.8245614,1,24.391,0.0
171,True,0.8255814,589,16.77967,0.0
172,True,0.8265896,495,38.1326,0.0
173,True,0.8275862,224,43.03059,0.0
174,True,0.8228571,1016,4.687721,0.7332677
175,True,0.8238636,59,17.65769,0.0
176,True,0.819209,3734,12.94336,0.4515265
177,True,0.8146067,374,9.505,0.4037433
178,True,0.8156425,2728,34.88383,0.0
179,True,0.8166667,183,28.45517,0.0
180,True,0.8121547,67,11.34437,0.0
181,True,0.8076923,226,4.114927,0.761062
182,True,0.8087432,243,29.98269,0.0
183,True,0.8097826,146,30.71318,0.0
184,True,0.8108108,601,20.3716,0.0
185,True,0.811828,377,22.54137,0.0
186,True,0.8128342,264,22.2562,0.0
187,True,0.8138298,602,27.50606,0.0
188,True,0.8148148,1123,13.50712,0.3668745
189,True,0.8105263,448,14.57839,0.0
190,True,0.8115183,243,40.41784,0.0
191,True,0.8072917,1544,12.13305,0.4831606
192,True,0.8031088,1489,3.280604,0.9032908
193,True,0.8041237,2050,3.857843,0.8643903
194,True,0.8051282,210,25.19435,0.0
195,True,0.8061224,267,21.99623,0.0
196,True,0.8071066,1241,15.61041,0.0
197,True,0.8080808,1096,34.12918,0.0
198,True,0.8090453,186,24.0971,0.0
199,True,0.81,260,39.3632,0.0
200,True,0.8109453,704,25.63885,0.0
201,True,0.8118812,538,13.5391,0.0
202,True,0.8128079,28,10.70453,0.0
203,True,0.8137255,1856,16.85327,0.04040948
204,True,0.8146341,134,20.73869,0.0
205,True,0.8106796,832,18.55857,0.1490385
206,True,0.8115942,352,18.63007,0.0
207,True,0.8125,467,31.07733,0.0
208,True,0.8086125,1334,23.87695,0.01874063
209,True,0.8095238,250,24.08318,0.0
210,True,0.8056872,261,11.05577,0.3065134
211,True,0.8066038,3832,3.471388,0.9018789
212,True,0.8028169,6167,2.521579,0.9659478
213,True,0.8037383,564,31.09358,0.0
214,True,0.8046511,315,20.6364,0.0
215,True,0.8055556,157,34.65089,0.0
216,True,0.8064516,62,35.01458,0.0
217,True,0.8027523,16,5.52418,0.75
218,True,0.8036529,1712,21.43459,0.0
219,True,0.8045455,2176,25.49886,0.0
220,True,0.8054299,781,24.68712,0.0
221,True,0.8063063,135,8.359658,0.0
222,True,0.8071749,818,35.06749,0.0
223,True,0.8080357,498,27.99943,0.0
224,True,0.8088889,370,25.91147,0.0
225,True,0.8097345,162,32.19114,0.0
226,True,0.8105727,244,13.21883,0.0
227,True,0.8070176,330,3.211322,1.0
228,True,0.8078603,2830,16.6101,0.0
229,True,0.8043478,172,5.189922,0.5930232
230,True,0.8008658,174,4.705994,0.7931035
231,True,0.8017241,811,36.58836,0.0
232,True,0.8025751,104,26.25537,0.0
233,True,0.8034188,1364,36.79723,0.0
234,True,0.8042553,312,27.92978,0.0
235,True,0.8050848,141,16.16208,0.0
236,True,0.8016878,524,7.698922,0.2748092
237,True,0.802521,2486,19.55295,0.0
238,True,0.8033473,1229,15.40642,0.0
239,True,0.8041667,138,36.80541,0.0
240,True,0.8049793,175,16.88738,0.0
241,True,0.8016529,172,14.23036,0.0
242,True,0.8024691,311,5.277749,0.6366559
243,True,0.8032787,1651,17.56178,0.002422774
244,True,0.8040816,17,23.56693,0.0
245,True,0.8048781,275,39.47061,0.0
246,True,0.805668,1427,31.39982,0.0
247,True,0.8024194,5793,2.381232,1.0
248,True,0.8032129,2367,40.60253,0.0
249,True,0.804,1006,39.43288,0.0
