episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,130,29.74267,0.0
1,True,1.0,252,21.83026,0.0
2,True,1.0,3751,29.86846,0.0
3,True,1.0,1192,36.04222,0.0
4,True,1.0,6030,10.73159,0.2689884
5,True,1.0,592,44.11365,0.0
6,True,1.0,201,24.09669,0.0
7,True,1.0,336,28.08411,0.0
8,True,1.0,72,32.28727,0.0
9,True,1.0,61,23.30995,0.0
10,True,0.9090909,188,8.013133,0.7021276
11,True,0.9166667,1213,18.64563,0.2159934
12,True,0.9230769,164,27.9122,0.0
13,True,0.9285714,2640,27.68887,0.0
14,True,0.9333333,205,28.38625,0.0
15,True,0.9375,1686,20.29778,0.0
16,True,0.9411765,449,23.58317,0.0
17,True,0.9444444,123,35.84297,0.0
18,True,0.9473684,172,33.57711,0.0
19,True,0.95,442,37.48615,0.0
20,True,0.9047619,504,4.655115,1.0
21,True,0.8636364,545,7.058571,0.8605505
22,True,0.8695652,1547,25.9041,0.0
23,True,0.875,186,29.49239,0.0
24,True,0.88,131,33.72162,0.0
25,True,0.8461539,4172,12.12759,0.2998562
26,True,0.8518519,181,17.59723,0.0
27,True,0.8571429,1824,27.34163,0.0
28,True,0.862069,223,28.97341,0.0
29,True,0.8666667,111,11.40131,0.0
30,True,0.8387097,739,19.0863,0.04600812
31,True,0.84375,1205,11.42184,0.1634855
32,False,0.84375,10000,0.9991,0.84375
33,True,0.8484849,8212,30.67779,0.0
34,True,0.8529412,5,19.64957,0.0
35,True,0.8571429,615,23.21768,0.0
36,True,0.8611111,5165,10.66206,0.6408519
37,True,0.8648649,3613,21.33091,0.0
38,False,0.8648649,10000,0.7861,0.8648649
39,True,0.8421053,3018,4.032842,0.972167
40,True,0.8205128,3569,9.577578,0.6912301
41,True,0.8,7863,23.5168,0.1086099
42,True,0.8048781,260,21.76968,0.0
43,True,0.8095238,751,14.05689,0.01065246
44,True,0.7906977,4242,7.888922,0.7656766
45,True,0.7954546,113,36.63132,0.0
46,True,0.8,3054,12.52625,0.456778
47,True,0.8043478,503,16.01033,0.0
48,True,0.8085107,190,16.1238,0.0
49,True,0.8125,1955,38.52605,0.0
50,True,0.8163266,2324,10.1288,0.4070568
51,True,0.82,821,21.75985,0.0
52,True,0.8235294,2537,29.00534,0.06819078
53,True,0.8269231,831,30.01567,0.0
54,True,0.8113208,595,22.71121,0.006722689
55,True,0.8148148,530,12.77297,0.0
56,True,0.8181818,72,15.72988,0.0
57,True,0.8214286,1148,4.027905,0.9729965
58,True,0.8245614,367,35.05056,0.0
59,True,0.8275862,247,26.5297,0.0
60,True,0.8305085,538,19.0396,0.0
61,True,0.8333333,474,13.00429,0.0
62,True,0.8196721,5059,21.50877,0.0146274
63,True,0.8225806,2854,20.0922,0.2256482
64,True,0.8253968,2659,3.564598,0.9736743
65,True,0.828125,922,20.29346,0.0
66,True,0.8307692,1267,30.16493,0.0
67,True,0.8333333,3940,16.38014,0.0
68,True,0.8358209,2741,28.97371,0.0
69,True,0.8382353,487,30.07174,0.0
70,True,0.8405797,3510,8.499009,0.6555555
71,True,0.8428571,1857,38.61997,0.0
72,True,0.8309859,1718,4.304424,0.927241
73,True,0.8333333,618,39.66346,0.0
74,True,0.8356164,725,12.56045,0.1006897
75,True,0.8243243,111,14.74211,0.0
76,True,0.8266667,320,40.65168,0.0
77,False,0.8266667,10000,0.3149,0.8266667
78,True,0.8289474,172,24.92096,0.0
79,True,0.8311688,7868,22.77559,0.0
80,True,0.8333333,279,36.73481,0.0
81,True,0.835443,4919,6.885843,0.8713153
82,True,0.8375,1468,32.97593,0.0
83,True,0.8271605,202,8.074134,0.5693069
84,True,0.8292683,224,32.89962,0.0
85,True,0.8313253,179,18.77044,0.0
86,True,0.8333333,864,23.78965,0.0
87,True,0.8352941,928,30.48194,0.0
88,True,0.8255814,2538,18.32969,0.0
89,True,0.816092,1144,15.1657,0.04195804
90,True,0.8181818,1967,27.46995,0.0
91,True,0.8089887,1118,6.537123,1.0
92,True,0.8111111,4050,27.75116,0.01950617
93,True,0.8131868,453,20.25671,0.0
94,True,0.8152174,1135,22.18505,0.0
95,False,0.8152174,10000,0.2701,0.8152174
96,True,0.8172043,1374,27.19401,0.0
97,True,0.819149,144,19.20385,0.0
98,True,0.8210526,206,18.39309,0.0
99,True,0.8229167,121,14.91484,0.01652892
100,True,0.8247423,540,6.620774,0.8462963
101,True,0.8265306,75,12.23498,0.0
102,True,0.8282828,5357,21.12164,0.004480119
103,True,0.83,397,28.46684,0.0
104,True,0.8316832,373,16.49663,0.0
105,True,0.8333333,245,34.24542,0.0
106,True,0.8349515,566,8.106761,0.6007067
107,True,0.8365384,309,47.60776,0.0
108,True,0.8380952,4522,21.87947,0.0
109,True,0.8396226,3873,23.9887,0.0
110,True,0.8411215,2571,16.57583,0.09373785
111,True,0.8425926,1292,38.40042,0.0
112,True,0.8348624,164,7.015233,0.6829268
113,True,0.8363636,1713,29.87154,0.0
114,True,0.8378378,163,14.57088,0.1656442
115,True,0.8392857,349,27.65876,0.0
116,True,0.840708,4956,16.46398,0.0
117,True,0.8421053,1498,30.92686,0.0
118,True,0.8434783,2862,22.32241,0.09783369
119,True,0.8448276,4559,42.66553,0.0
120,True,0.8461539,1680,26.26829,0.0
121,True,0.8474576,572,19.80265,0.0
122,True,0.8403361,4087,4.960854,0.8331294
123,True,0.8416666,177,25.98931,0.0
124,True,0.8429752,178,19.20099,0.0
125,True,0.8442623,629,24.53381,0.0
126,True,0.8455285,583,27.93843,0.0
127,True,0.8467742,147,42.26834,0.0
128,True,0.848,77,14.52848,0.0
129,True,0.8492063,1097,13.31868,0.1385597
130,True,0.8503937,853,24.82719,0.0
131,True,0.8515625,4217,16.86909,0.0
132,True,0.8527132,246,34.05974,0.0
133,True,0.8538461,383,23.64289,0.0
134,False,0.8538461,10000,1.0,0.8538461
135,True,0.8473282,0,,
136,True,0.8409091,2654,4.397379,0.9204974
137,True,0.8345864,1445,3.420098,1.0
138,True,0.8358209,808,25.40415,0.0
139,True,0.837037,2931,37.02673,0.0
140,True,0.8382353,841,17.7054,0.0
141,True,0.8394161,472,43.88267,0.0
142,True,0.8333333,4943,7.312149,0.6910783
143,True,0.8345324,533,16.0028,0.0
144,True,0.8357143,1441,6.507565,0.9222762
145,True,0.8368794,511,18.42017,0.0
146,True,0.8380282,251,17.83681,0.0
147,True,0.8391609,2090,35.96263,0.0
148,True,0.8402778,2680,25.10384,0.0
149,True,0.8413793,8950,15.30127,0.004804469
150,True,0.8424658,4325,17.28882,0.008092485
