[Inference] gamma_0950
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 107, predator_distance = 30.52645, avg_predator_distance = 29.46582, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 409, predator_distance = 38.22821, avg_predator_distance = 29.23443, predator_proximity_rate = 0, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 3, prey_survived_step = 7892, predator_distance = 32.4031, avg_predator_distance = 23.33481, predator_proximity_rate = 0.1232894, score = 1
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 4, prey_survived_step = 296, predator_distance = 22.90798, avg_predator_distance = 18.81353, predator_proximity_rate = 0, score = 1
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 5, prey_survived_step = 234, predator_distance = 31.64821, avg_predator_distance = 29.78616, predator_proximity_rate = 0, score = 1
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 6, prey_survived_step = 2293, predator_distance = 19.69658, avg_predator_distance = 13.05036, predator_proximity_rate = 0.3375491, score = 1
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 6, prey_survived_step = 51, predator_distance = 8.137141, avg_predator_distance = 10.52152, predator_proximity_rate = 0.1764706, score = 0.8571429
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 7, prey_survived_step = 182, predator_distance = 18.2073, avg_predator_distance = 13.7867, predator_proximity_rate = 0.05494506, score = 0.875
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 8, prey_survived_step = 938, predator_distance = 26.80508, avg_predator_distance = 9.462917, predator_proximity_rate = 0.5362473, score = 0.8888889
[Episode 9] [timeout] total_captures = 9, lone_wolf_captures = 8, prey_survived_step = 10000, avg_predator_distance = 9.873468, predator_proximity_rate = 0.6001, score = 0.8888889
[Episode 10] [capture] total_captures = 10, lone_wolf_captures = 9, prey_survived_step = 831, predator_distance = 41.4312, avg_predator_distance = 39.38919, predator_proximity_rate = 0, score = 0.9
[Episode 11] [capture] total_captures = 11, lone_wolf_captures = 10, prey_survived_step = 1346, predator_distance = 19.21109, avg_predator_distance = 31.28629, predator_proximity_rate = 0, score = 0.9090909
[Episode 12] [capture] total_captures = 12, lone_wolf_captures = 11, prey_survived_step = 405, predator_distance = 20.3206, avg_predator_distance = 22.55683, predator_proximity_rate = 0, score = 0.9166667
[Episode 13] [capture] total_captures = 13, lone_wolf_captures = 12, prey_survived_step = 2476, predator_distance = 12.10169, avg_predator_distance = 9.55484, predator_proximity_rate = 0.4810178, score = 0.9230769
