episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,126,30.78471,0.0
1,True,1.0,156,21.74562,0.0
2,True,0.6666667,3724,5.913063,0.6995167
3,True,0.5,268,11.83334,0.2798508
4,True,0.4,2887,3.537815,0.9120194
5,True,0.3333333,451,3.63934,1.0
6,True,0.2857143,5105,3.368536,0.9445642
7,True,0.25,683,3.253561,1.0
8,True,0.3333333,194,28.26774,0.0
9,True,0.4,264,17.36656,0.0
10,True,0.3636364,263,18.8026,0.1711027
11,True,0.4166667,237,17.53676,0.0
12,True,0.3846154,1345,10.85536,0.5486989
13,True,0.4285714,98,12.64501,0.0
14,True,0.4666667,295,21.9625,0.0
15,True,0.4375,734,25.80149,0.1144414
16,True,0.4117647,602,6.32526,0.7707641
17,True,0.3888889,2107,12.36194,0.08068343
18,True,0.4210526,280,21.04739,0.0
19,True,0.45,530,36.02194,0.0
20,True,0.4761905,1463,35.6549,0.0
21,True,0.5,4507,3.540407,0.9230087
22,True,0.4782609,1037,3.813721,0.9527483
23,True,0.5,89,23.49614,0.0
24,True,0.52,180,7.857841,0.6388889
25,True,0.5,351,3.744471,1.0
26,True,0.5185185,37,43.60785,0.0
27,True,0.5357143,513,13.79938,0.2183236
28,True,0.5517241,198,27.13252,0.0
29,True,0.5333334,1036,6.889878,0.7635135
30,True,0.5483871,157,14.25936,0.0
31,True,0.5625,2522,27.07403,0.0
32,True,0.5757576,671,23.60546,0.0
33,True,0.5882353,524,21.44708,0.0
34,True,0.6,624,29.77484,0.0
35,True,0.5833333,1530,3.849343,0.8973856
36,True,0.5945946,556,29.40171,0.0
37,True,0.5789474,1635,3.407421,0.9798165
38,True,0.5897436,643,13.83065,0.0
39,True,0.575,1774,4.185884,0.9239008
40,False,0.575,10000,0.9822,0.575
41,True,0.5853658,348,13.12211,0.0
42,True,0.5714286,1679,6.147821,0.8243002
43,True,0.5581396,2540,3.584449,1.0
44,True,0.5454546,3602,5.268922,0.8339811
45,True,0.5555556,37,23.3217,0.0
46,True,0.5652174,152,21.69855,0.0
47,True,0.5744681,100,13.66814,0.0
48,True,0.5833333,581,20.08805,0.0
49,True,0.5918368,47,23.4856,0.0
50,True,0.6,846,29.81239,0.0
51,True,0.5882353,3370,5.521738,0.7881306
52,True,0.5961539,1525,30.08895,0.0
53,True,0.6037736,1,28.17942,0.0
54,True,0.6111111,396,25.27391,0.0
55,True,0.6181818,781,26.70377,0.0
56,True,0.6071429,3873,5.59938,0.6720888
57,True,0.6140351,3146,32.12657,0.0
58,True,0.6206896,1297,29.42027,0.0
59,True,0.6101695,137,8.752345,0.540146
60,True,0.6166667,886,3.932751,0.9367946
61,True,0.6229508,226,33.7166,0.0
62,True,0.6290323,978,33.44167,0.0
63,True,0.6349207,675,27.84609,0.0
64,True,0.640625,1433,26.25411,0.0
65,True,0.6461539,281,46.77069,0.0
66,True,0.6515151,350,27.42372,0.0
67,True,0.6567164,50,16.32175,0.0
68,True,0.6617647,1414,2.976839,0.9780764
69,True,0.6666667,86,38.92162,0.0
70,True,0.6714286,179,37.3207,0.0
71,True,0.6760563,3335,23.28734,0.0
72,True,0.6805556,106,27.40363,0.0
73,True,0.6849315,152,17.44796,0.0
74,True,0.6891892,791,28.17747,0.0
75,True,0.6933333,156,28.4641,0.0
76,True,0.6842105,346,3.499248,1.0
77,True,0.6753247,634,6.375331,0.6214511
78,True,0.6666667,2033,2.859832,0.9867191
79,True,0.6582279,126,5.762663,1.0
80,True,0.6625,127,13.18786,0.0
81,True,0.654321,291,5.204952,0.8075601
82,True,0.6585366,1352,27.94561,0.0
83,True,0.6506024,951,5.576487,0.7108307
84,True,0.6547619,227,34.77624,0.0
85,True,0.6588235,2537,17.21935,0.0
86,True,0.6627907,861,35.87249,0.0
87,True,0.6666667,736,31.661,0.0
88,True,0.6590909,872,15.15981,0.02752294
89,True,0.6629214,266,26.98501,0.0
90,True,0.6666667,1474,38.69144,0.0
91,True,0.6593407,541,2.924288,1.0
92,True,0.6630435,215,15.63017,0.0
93,True,0.6559139,2093,6.299557,0.685141
94,True,0.6595744,79,25.28156,0.0
95,True,0.6631579,2150,30.50454,0.0
