episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,False,1.0,120,28.92719,0.0
1,False,0.5,4866,9.681664,0.6165228
2,False,0.6666667,127,25.89499,0.0
3,False,0.75,2126,15.57678,0.0
4,False,0.6,3032,6.172439,0.6573219
5,False,0.6666667,247,29.03581,0.0
6,False,0.7142857,145,18.94139,0.0
7,False,0.75,159,32.45137,0.0
8,False,0.7777778,1138,28.23231,0.0
9,False,0.8,355,10.0443,0.2619718
10,False,0.8181818,54,21.66856,0.0
11,False,0.8333333,775,30.09163,0.0
12,False,0.8461539,242,21.19414,0.0
13,False,0.8571429,321,20.61381,0.0
14,False,0.8666667,164,39.85635,0.0
15,False,0.875,2623,22.71933,0.0
16,False,0.8235294,1529,6.921451,0.6088947
17,False,0.8333333,1375,40.85434,0.0
18,False,0.8421053,2103,31.95797,0.01949596
19,False,0.85,2690,8.091777,0.5159851
20,False,0.8571429,427,23.10607,0.0
21,False,0.8636364,426,25.67776,0.0
22,False,0.8695652,347,23.56974,0.0
23,False,0.875,621,34.65688,0.0
24,False,0.88,136,17.33169,0.0
25,False,0.8846154,92,30.34485,0.0
26,False,0.8888889,1098,12.75097,0.03096539
27,False,0.8928571,197,23.73229,0.0
28,False,0.862069,6920,3.038666,0.9605491
29,False,0.8666667,518,36.63535,0.0
30,False,0.8709677,167,15.44325,0.0
31,False,0.875,556,13.51757,0.0
32,False,0.8787879,270,24.2801,0.0
33,False,0.8823529,312,21.59109,0.0
34,False,0.8857143,302,26.93424,0.0
35,False,0.8611111,73,3.284764,1.0
36,False,0.8648649,690,30.48716,0.0
37,False,0.8421053,579,14.85261,0.2659758
38,False,0.8461539,285,30.29251,0.0
39,False,0.85,6368,4.107143,0.9261935
40,False,0.8292683,125,7.583509,0.544
41,False,0.8095238,461,3.320742,1.0
42,False,0.8139535,418,23.5479,0.0
43,False,0.8181818,351,26.18195,0.0
44,False,0.8,1913,2.999475,1.0
45,False,0.8043478,1087,17.90374,0.0
46,False,0.8085107,105,36.21357,0.0
47,False,0.8125,1445,2.821148,1.0
48,False,0.8163266,180,22.86513,0.0
49,False,0.8,2602,18.60315,0.0
50,False,0.7843137,2858,4.433938,0.843247
51,False,0.7884616,2291,2.891746,0.9650807
52,False,0.7924528,97,22.37618,0.0
53,False,0.7962963,595,28.5531,0.0
54,False,0.8,47,37.98965,0.0
55,False,0.7857143,227,13.60059,0.2246696
56,False,0.7894737,234,12.89809,0.0
57,False,0.7931035,116,8.882579,0.5689655
58,False,0.7966102,2,21.40256,0.0
59,False,0.8,389,29.58799,0.0
60,False,0.8032787,563,4.931664,0.8507993
61,False,0.8064516,852,30.54316,0.0
62,False,0.7936508,2076,2.908798,1.0
63,False,0.796875,68,20.61696,0.0
64,False,0.8,332,35.64747,0.0
65,False,0.8030303,796,3.324073,0.9208543
66,False,0.8059701,355,20.84208,0.0
67,False,0.8088235,181,20.5323,0.0
68,False,0.8115942,597,25.85302,0.0
69,False,0.8142857,3541,17.64974,0.08754589
70,False,0.8169014,470,16.77186,0.0
71,False,0.8194444,133,44.56842,0.0
72,False,0.8082192,3854,2.595539,0.9940322
73,False,0.8108108,188,11.02751,0.0
74,False,0.8,1554,3.238475,1.0
75,False,0.8026316,2120,3.934723,0.8712264
76,False,0.8051948,1210,22.33253,0.0
77,False,0.8076923,3322,24.17975,0.0
78,False,0.8101266,3643,26.421,0.0
79,False,0.8125,1097,6.097947,0.8714676
80,False,0.8148148,355,35.7298,0.0
81,False,0.8170732,1043,37.10788,0.0
82,False,0.8192771,1293,11.11984,0.1794277
83,False,0.8214286,413,18.37162,0.0
84,False,0.8235294,381,30.5329,0.0
85,False,0.8255814,255,30.24522,0.0
86,False,0.8275862,354,31.51541,0.0
87,False,0.8295454,1379,19.5922,0.0
88,False,0.8314607,106,26.74262,0.0
89,False,0.8333333,564,27.31352,0.0
90,False,0.8351648,5267,4.85652,0.8245681
91,False,0.8369565,1885,31.07499,0.0
92,False,0.8387097,731,19.94263,0.0
93,False,0.8297873,634,12.08559,0.2113565
94,False,0.831579,1069,27.4692,0.0
95,False,0.8333333,2031,9.242869,0.497292
96,False,0.8350515,233,27.6042,0.0
97,False,0.8367347,336,29.53334,0.0
98,False,0.8383839,1694,3.005408,0.9693034
99,False,0.84,463,15.16637,0.0
100,False,0.8415841,1231,9.784657,0.357433
101,False,0.8431373,1604,28.04914,0.0
102,False,0.8446602,229,25.54477,0.0
103,False,0.8461539,719,27.93376,0.0
104,False,0.8380952,3071,3.493151,0.978183
105,False,0.8396226,392,37.98606,0.0
106,False,0.8411215,582,26.187,0.0
107,False,0.8425926,428,10.5853,0.2897196
108,False,0.8440367,7719,3.70138,0.9380749
109,False,0.8454546,574,30.99034,0.0
110,False,0.8468468,2165,28.2692,0.0
111,False,0.8482143,55,32.84441,0.0
112,False,0.8495575,2209,13.81236,0.0
113,False,0.8508772,624,7.491166,0.6041667
114,False,0.8521739,447,18.86943,0.0
115,False,0.8534483,215,27.6437,0.0
116,False,0.8547009,669,16.82035,0.01195815
117,False,0.8559322,806,22.37599,0.0
118,False,0.8571429,343,22.20897,0.0
119,False,0.85,201,5.333212,1.0
120,False,0.8512397,169,32.08974,0.0
121,False,0.852459,649,27.80853,0.0
122,False,0.8536586,651,25.97839,0.0
123,False,0.8548387,135,30.78992,0.0
124,False,0.856,926,22.27882,0.0
125,False,0.8492063,4413,2.679039,0.9934285
