episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,106,29.89413,0.0
1,True,1.0,1485,25.22228,0.0
2,True,1.0,142,22.55567,0.0
3,True,1.0,26,9.822898,0.0
4,True,1.0,4138,5.333602,0.7899952
5,True,1.0,167,30.68915,0.0
6,True,1.0,1000,22.10786,0.0
7,True,1.0,1191,34.11132,0.0
8,True,1.0,3724,22.59163,0.0
9,True,1.0,266,17.63124,0.0
10,True,1.0,626,21.21832,0.0
11,True,1.0,3117,8.022,0.400385
12,True,1.0,892,21.52542,0.0
13,True,1.0,165,25.42613,0.0
14,True,1.0,1383,33.20139,0.0
15,True,1.0,2774,29.24129,0.0
16,True,1.0,300,20.64774,0.0
17,True,1.0,673,20.95281,0.0
18,True,1.0,591,32.09374,0.0
19,True,1.0,250,24.16566,0.0
20,True,1.0,582,29.25932,0.0
21,True,1.0,523,26.59947,0.0
22,True,1.0,6170,18.61307,0.0
23,True,0.9583333,552,26.43417,0.0
24,True,0.96,193,26.09121,0.0
25,True,0.9615384,3239,30.22949,0.0
26,True,0.962963,108,22.7992,0.0
27,True,0.9642857,597,21.73897,0.0
28,True,0.9655172,381,32.44635,0.0
29,True,0.9666666,193,28.84512,0.0
30,True,0.9677419,1570,14.448,0.0
31,True,0.96875,289,22.07514,0.0
32,True,0.969697,392,23.70043,0.0
33,True,0.9705882,594,24.5021,0.0
34,True,0.9714286,409,26.37796,0.0
35,True,0.9722222,73,18.32352,0.0
36,True,0.972973,686,20.44705,0.0
37,True,0.9736842,2903,39.05648,0.0
38,True,0.974359,265,12.28304,0.0
39,True,0.975,105,12.02672,0.0
40,True,0.9756098,444,20.02925,0.0
41,True,0.9761904,1104,33.28822,0.0
42,True,0.9767442,213,33.64781,0.0
43,True,0.9772727,599,31.89072,0.0
44,True,0.9777778,751,15.9697,0.0
45,True,0.9782609,2800,4.069847,0.9564286
46,True,0.9787234,5548,32.35872,0.0
47,True,0.9791667,1408,21.5548,0.0
48,True,0.9795918,1070,33.61444,0.0
49,True,0.98,246,16.23019,0.0
50,True,0.9803922,336,35.11427,0.0
51,True,0.9807692,4113,27.62913,0.0
52,True,0.9811321,286,25.59736,0.0
53,True,0.9814815,449,19.18502,0.0
54,True,0.9818182,322,21.1883,0.0
55,True,0.9821429,162,33.90239,0.0
56,True,0.9824561,359,17.78972,0.0
57,True,0.9827586,4763,21.35221,0.0
58,True,0.9830508,296,18.71478,0.0
59,True,0.9833333,230,28.12942,0.0
60,True,0.9836066,750,15.99475,0.0
61,True,0.983871,765,15.10924,0.0
62,True,0.984127,286,26.29636,0.0
63,True,0.984375,71,20.47455,0.0
64,True,0.9692308,3611,24.23632,0.002769316
65,True,0.969697,1183,39.87228,0.0
66,True,0.9552239,756,15.718,0.2063492
67,True,0.9558824,491,32.12392,0.0
68,True,0.9565217,2242,4.350996,0.9406779
69,True,0.9571428,64,12.87915,0.0
70,False,0.9571428,10000,0.9404,0.9571428
71,True,0.9577465,2618,13.16724,0.1665393
72,True,0.9583333,2185,37.46732,0.0
73,True,0.9589041,979,29.29121,0.0
74,True,0.9594595,7097,21.65378,0.0
75,True,0.96,1538,22.92219,0.0
76,True,0.9473684,245,14.54787,0.03673469
77,True,0.9480519,938,23.93155,0.0
78,True,0.9358974,103,6.140142,0.3495146
79,True,0.9367089,1,26.1307,0.0
80,True,0.9375,494,26.0778,0.0
81,True,0.9382716,39,16.30665,0.0
82,True,0.9390244,825,27.05984,0.0
83,True,0.939759,163,34.7686,0.0
84,True,0.9404762,1322,3.334373,0.9198185
85,True,0.9294118,264,15.24452,0.06439394
86,True,0.9302326,345,32.01243,0.0
87,True,0.9310345,254,13.30965,0.0
88,True,0.9318182,117,25.72732,0.0
89,True,0.9325843,3024,32.39532,0.0
90,True,0.9333333,131,28.46716,0.0
91,True,0.9340659,92,30.49169,0.0
92,True,0.9347826,151,21.55266,0.0
93,True,0.9354839,795,20.62955,0.0
94,True,0.9361702,4044,28.11918,0.0
95,True,0.9368421,272,14.40684,0.0
96,True,0.9375,835,20.79555,0.0
97,True,0.9381443,149,13.64084,0.0
98,True,0.9387755,1630,17.8855,0.0
99,True,0.9393939,3425,15.29917,0.2735766
100,True,0.94,482,19.91264,0.05809129
101,True,0.9306931,229,19.80445,0.0
102,True,0.9313725,107,13.48301,0.0
103,True,0.9320388,695,22.35141,0.0
104,True,0.9230769,6382,3.332578,0.9279223
105,True,0.9238095,652,23.20461,0.0
106,True,0.9245283,5099,29.52209,0.0
107,True,0.9252337,554,27.59323,0.0
108,True,0.9259259,1250,16.25371,0.0
109,True,0.9266055,187,22.39096,0.0
110,True,0.9272727,165,39.68071,0.0
111,True,0.9279279,308,23.24795,0.0
112,True,0.9285714,3163,24.40985,0.0
113,True,0.9292035,4519,14.76787,0.1529099
114,True,0.9298246,558,17.1183,0.1182796
115,True,0.9304348,61,13.99446,0.0
116,True,0.9310345,267,11.831,0.1685393
117,True,0.9316239,3072,7.016001,0.7080078
118,True,0.9322034,2293,9.275158,0.368949
119,True,0.9327731,143,24.89837,0.0
120,True,0.9333333,600,37.60168,0.0
121,True,0.9256198,3142,4.450302,0.885105
122,True,0.9262295,235,27.81453,0.0
123,True,0.9268293,206,29.32075,0.0
124,True,0.9274194,232,22.83223,0.0
125,True,0.928,2301,16.9955,0.04693611
126,True,0.9285714,1530,10.78315,0.2627451
127,True,0.9291338,212,36.38393,0.0
128,True,0.9296875,1118,9.844368,0.234347
129,True,0.9302326,411,27.2842,0.0
130,True,0.9230769,108,6.089734,0.7222222
131,True,0.9236641,2707,35.50926,0.0
132,True,0.9242424,624,22.51382,0.0
133,True,0.9172933,317,9.31668,0.2996846
134,True,0.9179105,3798,18.54106,0.0
135,True,0.9185185,545,26.43962,0.0
136,True,0.9191176,183,21.9567,0.0
137,True,0.9124088,67,3.985588,1.0
138,True,0.9130435,278,30.64551,0.0
139,True,0.913669,239,19.73557,0.0
140,True,0.9142857,363,32.79285,0.0
141,True,0.9148936,380,24.21811,0.0
