episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,2628,29.14155,0.0
1,False,1.0,20000,0.1971,1.0
2,True,1.0,7990,32.19259,0.2578223
3,True,0.6666667,17356,43.1224,0.02143351
4,False,0.6666667,20000,0.1366,0.6666667
5,True,0.75,9300,40.76239,0.0
6,True,0.8,8834,19.16079,0.3090333
7,False,0.8,20000,0.1686,0.8
8,True,0.8333333,3276,30.24387,0.0
9,True,0.8571429,11320,10.20472,0.7159011
10,True,0.875,8456,49.87383,0.08514664
11,True,0.7777778,8988,28.29065,0.07320872
12,True,0.8,12856,20.74417,0.3056938
13,True,0.8181818,7736,31.50876,0.0
14,True,0.8333333,8186,51.29402,0.0
15,True,0.8461539,7500,18.61286,0.5248
16,True,0.7857143,10604,18.07461,0.4130517
17,True,0.7333333,3530,15.49418,0.4169972
18,True,0.75,8088,20.67807,0.1990603
19,False,0.75,20000,0.1463,0.75
20,True,0.7647059,7756,46.27656,0.2405879
21,True,0.7777778,15532,18.7414,0.3823075
22,True,0.7894737,10790,36.27316,0.0
23,True,0.8,4362,16.19634,0.5346171
24,True,0.8095238,3574,40.96951,0.0
25,True,0.8181818,9072,41.01104,0.0
26,False,0.8181818,20000,0.2807,0.8181818
27,True,0.8260869,5730,27.69953,0.07713787
28,True,0.8333333,9666,20.11749,0.2259466
29,True,0.84,2354,19.33168,0.2081563
30,True,0.8461539,5072,26.23154,0.1537855
31,True,0.8518519,3500,43.50568,0.0
32,True,0.8571429,332,43.65723,0.0
33,True,0.862069,7022,47.6716,0.0
34,True,0.8666667,1454,32.40123,0.0
35,False,0.8666667,20000,0.0544,0.8666667
36,True,0.8387097,10906,12.90377,0.650651
37,True,0.8125,17012,29.11477,0.1102751
38,True,0.8181818,13226,23.74452,0.2339332
39,True,0.8235294,12908,38.25974,0.1276728
40,True,0.8285714,2630,17.98816,0.3057034
41,True,0.8333333,3032,41.87729,0.0
42,True,0.8378378,6384,31.90413,0.04417293
43,True,0.8421053,3632,23.36259,0.1861233
44,True,0.8461539,16790,44.70022,0.0
45,True,0.85,17204,37.92746,0.1455476
46,True,0.8536586,802,30.58712,0.0
47,True,0.8571429,9770,35.60087,0.007369498
48,True,0.8604651,16338,37.70757,0.03084833
49,True,0.8636364,1162,29.65495,0.0
50,False,0.8636364,20000,0.2078,0.8636364
51,True,0.8666667,4118,22.43341,0.2603205
52,True,0.8695652,6860,9.343676,0.6081632
53,True,0.8723404,4468,44.45811,0.0
54,True,0.875,8908,39.9851,0.0
55,True,0.877551,2382,30.0927,0.0
56,True,0.86,1302,12.10406,0.6574501
57,True,0.8627451,19110,42.20614,0.03589744
58,True,0.8653846,8990,67.7124,0.0
