episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,147,30.38597,0.0
1,True,1.0,420,26.72424,0.0
2,True,1.0,756,23.59395,0.0
3,True,1.0,621,18.27121,0.0
4,True,0.8,3273,4.213228,0.8350137
5,True,0.8333333,165,29.1679,0.0
6,True,0.8571429,5164,3.222791,0.9695972
7,True,0.875,4490,28.69369,0.0
8,True,0.8888889,428,35.04676,0.0
9,True,0.9,2178,8.800985,0.6864095
10,True,0.9090909,1960,19.03421,0.0
11,True,0.9166667,362,14.8817,0.0
12,True,0.9230769,1,15.20756,0.0
13,True,0.9285714,8184,4.631824,0.8413978
14,True,0.9333333,1958,24.556,0.0
15,True,0.9375,2866,5.519454,0.7826239
16,True,0.9411765,717,27.20456,0.0
17,True,0.9444444,5664,3.616102,0.9406779
18,True,0.8947368,1734,2.770426,0.9867359
19,True,0.85,2624,3.634267,0.9954268
20,True,0.8571429,72,29.06809,0.0
21,True,0.8181818,3774,7.975771,0.45469
22,True,0.8260869,4011,6.470762,0.7060583
23,True,0.8333333,3010,2.989992,0.9750831
24,True,0.8,2208,2.577362,0.9968297
25,True,0.8076923,137,23.54519,0.0
26,True,0.8148148,957,18.10493,0.0
27,True,0.8214286,130,37.27038,0.0
28,True,0.8275862,1043,36.81975,0.0
29,True,0.8,2906,4.246394,0.8613214
30,True,0.7741935,4170,3.300457,0.9378897
31,True,0.78125,1669,23.29019,0.0
32,True,0.7878788,1111,17.46774,0.0
33,True,0.7941176,3861,24.44918,0.0
34,True,0.8,4584,7.802861,0.7253491
35,False,0.8,10000,0.9312,0.8
36,True,0.8055556,319,18.88868,0.0
37,True,0.8108108,927,5.070487,0.8576052
38,True,0.8157895,2578,28.48821,0.0
39,True,0.7948718,222,3.417458,1.0
40,True,0.8,324,27.76263,0.0
41,True,0.8048781,4441,16.82125,0.07250619
42,True,0.8095238,137,6.78777,0.9489051
43,True,0.8139535,333,24.34738,0.0
44,True,0.8181818,3348,3.487087,0.9369773
45,True,0.8222222,1254,27.51538,0.0
46,True,0.8260869,541,22.36995,0.0
47,True,0.8297873,3671,3.314562,0.9795696
48,True,0.8125,5009,2.773021,1.0
49,True,0.8163266,1477,4.440839,0.8903182
50,True,0.82,339,19.99829,0.0
51,True,0.8235294,694,28.26123,0.0
52,True,0.8269231,1041,25.29262,0.0
53,True,0.8301887,232,9.71222,0.6551724
54,True,0.8333333,1385,17.54369,0.0
55,True,0.8363636,1211,32.53421,0.0
56,True,0.8392857,1433,27.6495,0.0
57,True,0.8421053,1,13.08903,0.0
58,True,0.8448276,362,14.81222,0.0
59,True,0.8474576,661,26.5322,0.0
60,True,0.8333333,7327,13.82237,0.3740958
61,True,0.8196721,579,14.17297,0.1053541
62,True,0.8225806,116,34.4787,0.0
63,False,0.8225806,10000,0.7017,0.8225806
64,True,0.8253968,360,33.19252,0.0
65,True,0.8125,2417,24.21381,0.01075714
66,True,0.8,1117,2.299477,1.0
67,True,0.8030303,2009,24.04752,0.0
68,True,0.8059701,1527,11.47216,0.421742
69,False,0.8059701,10000,0.9508,0.8059701
70,True,0.8088235,756,40.11361,0.0
71,True,0.8115942,468,11.04295,0.2884615
72,True,0.8142857,208,22.65051,0.0
73,True,0.8028169,947,10.35133,0.4783527
74,True,0.7916667,630,14.94612,0.1253968
75,True,0.7945206,2928,7.900554,0.5771858
76,True,0.7972973,183,12.59168,0.1803279
77,True,0.8,918,39.23113,0.0
78,True,0.8026316,1229,23.77138,0.0
79,True,0.7922078,692,10.75857,0.4595376
80,True,0.7948718,6825,4.183506,0.8499634
81,True,0.7974684,206,22.1329,0.0
82,True,0.7875,2120,29.97471,0.1830189
83,True,0.7901235,246,32.88557,0.0
84,True,0.7926829,206,30.32933,0.0
85,True,0.7951807,2043,19.14083,0.0
86,True,0.797619,3284,3.313865,0.9485384
87,True,0.8,6018,20.11583,0.0
88,True,0.7906977,330,5.288605,1.0
89,True,0.7931035,311,22.93823,0.0
90,True,0.7954546,73,7.509493,0.9315069
91,True,0.7977528,491,15.69071,0.0
92,True,0.7888889,1274,24.50467,0.0934066
93,True,0.7912088,310,29.41747,0.0
94,True,0.7934783,65,20.48434,0.0
95,True,0.7956989,213,37.15595,0.0
96,True,0.7978724,106,22.9637,0.0
97,True,0.8,3094,21.27404,0.001616031
98,True,0.7916667,587,5.253595,0.8637138
99,True,0.7938144,905,28.64307,0.0
100,True,0.7959183,182,37.66352,0.0
101,False,0.7959183,10000,0.6452,0.7959183
102,True,0.7979798,117,24.69193,0.0
103,True,0.8,3991,32.30407,0.0
104,True,0.8019802,205,25.61834,0.0
105,True,0.8039216,1037,33.98824,0.0
106,True,0.8058252,1253,20.8744,0.0
107,True,0.8076923,657,18.04579,0.06697108
108,True,0.8095238,208,24.91901,0.0
109,True,0.8113208,253,23.45904,0.0
110,True,0.8130841,93,33.05135,0.0
111,True,0.8148148,299,15.03525,0.0
112,True,0.8165138,3410,27.80355,0.0
113,True,0.8181818,625,15.95234,0.0
114,True,0.8198198,2481,29.80279,0.0
115,True,0.8214286,1845,28.24431,0.0
116,True,0.8141593,529,23.55528,0.05671078
117,True,0.8070176,290,9.181534,0.4965517
118,True,0.8086957,419,23.27727,0.0
119,True,0.8017241,8449,20.67376,0.003195644
120,True,0.7948718,3670,3.478783,0.9384196
121,True,0.7966102,500,33.17869,0.0
122,True,0.7983193,786,24.90889,0.0
123,True,0.7916667,292,14.52409,0.006849315
124,True,0.7933884,2395,26.02824,0.0
125,True,0.795082,6216,9.613756,0.625
126,True,0.7886179,4376,5.242498,0.8642596
127,True,0.7903226,343,26.06321,0.0
128,True,0.792,4046,15.10862,0.3546713
129,True,0.7936508,181,16.57731,0.0
130,True,0.7952756,6653,13.00469,0.5846986
131,True,0.7890625,3301,2.690706,1.0
132,True,0.7906977,954,27.68248,0.0
133,True,0.7846154,1329,6.677612,0.5966892
134,True,0.7862595,1884,23.17144,0.0
135,True,0.7878788,1793,24.24351,0.0
136,True,0.7894737,366,32.95378,0.0
137,True,0.7835821,3102,26.60213,0.1979368
138,True,0.7851852,568,29.2162,0.0
139,True,0.7867647,1082,21.29681,0.0
140,True,0.7810219,1503,3.650215,0.8962076
141,True,0.7826087,635,20.80981,0.0
142,True,0.7841727,3036,20.49345,0.0
143,True,0.7857143,1354,19.42559,0.01033973
144,True,0.7801418,185,5.558119,1.0
145,True,0.7816901,133,28.15769,0.0
146,True,0.7762238,922,3.123255,1.0
147,True,0.7777778,3013,26.90596,0.0
148,True,0.7793103,830,29.15383,0.0
149,True,0.7739726,330,8.483071,0.4545455
150,True,0.7687075,2004,22.27967,0.3118762
