[Inference] sequence_length_32_memory_size_64
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 459, predator_distance = 29.92605, avg_predator_distance = 30.26453, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 1632, predator_distance = 16.02328, avg_predator_distance = 18.44022, predator_proximity_rate = 0, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 3, prey_survived_step = 299, predator_distance = 24.17228, avg_predator_distance = 27.97802, predator_proximity_rate = 0, score = 1
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 4, prey_survived_step = 778, predator_distance = 11.0551, avg_predator_distance = 13.16169, predator_proximity_rate = 0, score = 1
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 5, prey_survived_step = 762, predator_distance = 26.81307, avg_predator_distance = 34.15576, predator_proximity_rate = 0, score = 1
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 6, prey_survived_step = 669, predator_distance = 15.63289, avg_predator_distance = 27.48522, predator_proximity_rate = 0, score = 1
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 6, prey_survived_step = 116, predator_distance = 9.320069, avg_predator_distance = 10.44555, predator_proximity_rate = 0, score = 0.8571429
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 7, prey_survived_step = 103, predator_distance = 28.60931, avg_predator_distance = 29.54917, predator_proximity_rate = 0, score = 0.875
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 8, prey_survived_step = 5741, predator_distance = 30.06796, avg_predator_distance = 22.31371, predator_proximity_rate = 0.05277826, score = 0.8888889
[Episode 9] [capture] total_captures = 10, lone_wolf_captures = 9, prey_survived_step = 197, predator_distance = 26.49333, avg_predator_distance = 22.62587, predator_proximity_rate = 0, score = 0.9
[Episode 10] [capture] total_captures = 11, lone_wolf_captures = 10, prey_survived_step = 420, predator_distance = 10.51075, avg_predator_distance = 14.04458, predator_proximity_rate = 0, score = 0.9090909
[Episode 11] [capture] total_captures = 12, lone_wolf_captures = 11, prey_survived_step = 719, predator_distance = 33.03996, avg_predator_distance = 36.21961, predator_proximity_rate = 0, score = 0.9166667
[Episode 12] [capture] total_captures = 13, lone_wolf_captures = 12, prey_survived_step = 2435, predator_distance = 29.75554, avg_predator_distance = 22.90833, predator_proximity_rate = 0, score = 0.9230769
[Episode 13] [capture] total_captures = 14, lone_wolf_captures = 13, prey_survived_step = 590, predator_distance = 38.0765, avg_predator_distance = 37.96679, predator_proximity_rate = 0, score = 0.9285714
[Episode 14] [capture] total_captures = 15, lone_wolf_captures = 14, prey_survived_step = 349, predator_distance = 19.03876, avg_predator_distance = 26.74627, predator_proximity_rate = 0, score = 0.9333333
[Episode 15] [capture] total_captures = 16, lone_wolf_captures = 15, prey_survived_step = 502, predator_distance = 24.86945, avg_predator_distance = 24.13094, predator_proximity_rate = 0, score = 0.9375
[Episode 16] [capture] total_captures = 17, lone_wolf_captures = 16, prey_survived_step = 1908, predator_distance = 40.2681, avg_predator_distance = 13.69994, predator_proximity_rate = 0.3149895, score = 0.9411765
[Episode 17] [capture] total_captures = 18, lone_wolf_captures = 17, prey_survived_step = 5214, predator_distance = 24.69548, avg_predator_distance = 29.55103, predator_proximity_rate = 0.04065976, score = 0.9444444
[Episode 18] [capture] total_captures = 19, lone_wolf_captures = 18, prey_survived_step = 2997, predator_distance = 27.14364, avg_predator_distance = 39.10937, predator_proximity_rate = 0, score = 0.9473684
