episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,210,28.95589,0.0
1,True,1.0,3877,18.49972,0.026309
2,False,1.0,10000,0.0713,1.0
3,True,1.0,4746,36.69749,0.0
4,False,1.0,10000,0.1254,1.0
5,False,1.0,10000,0.0,1.0
6,True,1.0,7081,23.64706,0.0
7,False,1.0,10000,0.086,1.0
8,True,1.0,5087,16.7247,0.5140554
9,False,1.0,10000,0.1212,1.0
10,True,1.0,1,15.75632,0.0
11,True,1.0,8325,13.73737,0.1957958
12,True,1.0,3259,23.20152,0.0
13,True,1.0,3439,34.80235,0.0
14,True,1.0,7350,19.69333,0.1244898
15,False,1.0,10000,0.1635,1.0
16,True,1.0,679,25.34352,0.0
17,True,1.0,8216,17.18231,0.1338851
18,True,1.0,3991,22.3034,0.0007516913
19,False,1.0,10000,0.2925,1.0
20,False,1.0,10000,0.0,1.0
21,True,1.0,3081,31.10524,0.0
22,True,1.0,833,27.05089,0.0
23,True,1.0,3157,23.0832,0.0
24,True,1.0,1368,20.11911,0.0
25,True,1.0,8936,15.0609,0.05640107
26,True,1.0,624,16.81097,0.0
27,False,1.0,10000,0.2831,1.0
28,False,1.0,10000,0.277,1.0
29,True,1.0,3564,33.80899,0.0
30,False,1.0,10000,0.226,1.0
31,True,1.0,2263,27.24778,0.0
32,False,1.0,10000,0.0,1.0
33,True,0.9545454,793,6.400177,0.6834804
34,False,0.9545454,10000,0.0,0.9545454
35,False,0.9545454,10000,0.0611,0.9545454
36,True,0.9565217,4402,34.22511,0.0
37,True,0.9583333,3303,15.79693,0.09203754
38,False,0.9583333,10000,0.0,0.9583333
39,True,0.96,1041,18.50057,0.01633045
40,True,0.9230769,919,12.80108,0.07181719
41,True,0.9259259,198,20.79231,0.0
42,True,0.9285714,9170,15.91793,0.3061069
43,True,0.9310345,4317,26.32679,0.0
44,False,0.9310345,10000,0.1339,0.9310345
45,True,0.9333333,680,18.24587,0.0
46,False,0.9333333,10000,0.1104,0.9333333
47,True,0.9354839,9503,12.88587,0.3095864
48,True,0.9375,1108,19.2535,0.0
49,True,0.9090909,3646,25.66958,0.03154141
50,False,0.9090909,10000,0.0,0.9090909
51,False,0.9090909,10000,0.131,0.9090909
52,True,0.8823529,2999,12.60658,0.2934311
53,True,0.8857143,4682,16.9558,0.03118326
54,True,0.8888889,6687,18.36045,0.04830268
55,True,0.8918919,659,28.13576,0.0
56,True,0.8947368,2055,19.84379,0.0
57,True,0.8974359,1095,7.076327,0.7013699
58,False,0.8974359,10000,0.0,0.8974359
59,True,0.9,1695,35.60165,0.0
60,False,0.9,10000,0.1055,0.9
61,False,0.9,10000,0.3946,0.9
62,True,0.902439,1011,26.25149,0.0
63,False,0.902439,10000,0.0,0.902439
64,False,0.902439,10000,0.0,0.902439
65,False,0.902439,10000,0.2766,0.902439
66,False,0.902439,10000,0.0,0.902439
67,False,0.902439,10000,0.0,0.902439
68,False,0.902439,10000,0.0,0.902439
69,False,0.902439,10000,0.0,0.902439
70,False,0.902439,10000,0.261,0.902439
71,True,0.9047619,6165,29.0301,0.05515004
72,True,0.9069768,9281,40.42695,0.0
73,True,0.9090909,1237,28.75619,0.0
74,False,0.9090909,10000,0.268,0.9090909
75,True,0.9111111,3867,32.7424,0.0
