epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,2622,68.23133,41.12128,0.0,1.0,10.15329,-27.33421,11.27412,-26.43904,68.64676,-63.36945
1,True,2,2,4434,88.5746,36.49343,0.1028417,1.0,68.00305,-67.34907,67.71997,-65.42742,5.167458,-2.716682
2,True,2,2,20000,0,43.26741,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,True,3,3,6850,40.63773,38.8796,0.0,1.0,21.53439,-21.39085,23.4101,-21.39097,23.43394,-62.02864
4,True,4,4,5714,60.7796,25.37999,0.1036052,1.0,22.13049,-10.66557,20.61763,-11.97979,61.87994,-56.60684
5,True,5,5,2172,44.78716,30.82518,0.0,1.0,68.09618,-23.73951,66.9911,-24.90184,22.46287,-29.71024
6,True,6,5,10870,8.575961,22.08714,0.1291628,0.8333333,61.18221,-67.93392,61.11774,-66.22501,57.76662,-58.33263
7,True,7,6,3710,55.58177,28.46416,0.1622642,0.8571429,34.95657,-67.94153,36.11154,-66.61089,39.1588,-11.1129
8,True,8,7,7958,60.63702,33.31555,0.0,0.875,3.30896,-19.29422,4.978127,-18.83302,63.44196,-2.744926
9,True,9,8,6550,22.1902,24.61529,0.4122137,0.8888889,45.60478,-14.62197,45.62662,-16.40315,63.09906,-2.724945
10,True,10,9,1800,26.53312,13.80864,0.4144444,0.9,41.22472,-14.41633,42.63654,-15.3149,68.64217,-20.57828
11,True,11,10,4688,42.26614,17.38312,0.2201365,0.9090909,68.84448,-59.54124,67.46136,-59.78042,47.39414,-22.58224
12,True,12,11,1710,33.8097,18.74338,0.2654971,0.9166667,41.38543,-2.788902,41.47334,-4.544678,52.18277,-36.61339
13,True,13,12,1454,56.02287,35.2203,0.0,0.9230769,68.61075,-34.96064,66.98105,-35.78479,15.93967,-12.69064
14,True,14,13,4732,47.98343,25.92297,0.2138631,0.9285714,68.42082,-67.59219,68.38562,-65.7961,62.12817,-18.22281
15,True,15,14,1690,40.00746,43.95731,0.0,0.9333333,21.1985,-51.03405,22.20857,-50.03868,57.20313,-30.64867
16,True,15,14,20000,0,39.23924,0.0495,0.9333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,True,16,15,7806,70.41321,38.0557,0.1498847,0.9375,3.154343,-41.51454,5.151215,-41.05999,64.21234,-2.722061
18,True,17,16,1536,22.81549,29.5335,0.0,0.9411765,34.61928,-37.61314,35.69151,-36.51748,24.50471,-56.40217
19,True,18,17,4522,12.8362,31.67124,0.1601062,0.9444444,37.1368,-38.61052,37.87833,-36.99129,47.23465,-28.2034
20,True,19,17,1908,3.839973,30.96062,0.1436059,0.8947368,49.17136,-56.45481,48.46297,-54.76256,48.51614,-50.92296
21,True,20,18,2242,65.00521,32.452,0.1115076,0.9,68.88715,-67.90936,69.10474,-66.15387,53.77762,-2.981651
22,True,21,19,16868,63.59759,31.7069,0.0760019,0.9047619,43.71341,-2.806519,43.55894,-4.543007,68.67926,-62.96906
23,True,22,19,1894,10.37465,14.8117,0.5691658,0.8636364,15.69469,-10.42872,16.00816,-9.022591,24.4576,-3.003471
24,True,23,20,2044,41.61719,38.72181,0.0,0.8695652,3.281013,-67.60657,5.019882,-67.55979,4.338486,-25.9486
25,True,24,21,1986,29.27316,39.25238,0.0,0.875,68.62839,-32.85708,67.58127,-31.34153,62.75679,-60.21438
26,True,25,22,2634,56.93745,42.92048,0.0,0.88,59.15164,-60.48447,58.17343,-59.27295,65.0163,-2.748512
27,True,26,23,14500,74.9893,37.63734,0.08068965,0.8846154,60.69632,-60.1695,59.54688,-58.76798,3.267242,-9.210503
28,True,27,24,1602,34.89414,30.8854,0.0,0.8888889,3.313698,-2.445198,4.786263,-3.497841,39.01723,-10.26486
29,True,28,25,6644,63.01382,34.77063,0.03281156,0.8928571,25.85732,-14.27584,25.06547,-15.84433,68.64415,-61.35951
30,True,29,26,18568,64.45046,47.25876,0.0,0.8965517,58.09708,-43.17862,56.61975,-42.24856,3.243622,-6.126396
31,True,30,27,3240,72.29993,41.85653,0.0,0.9,68.12881,-61.80145,67.06903,-60.87234,21.52664,-4.719292
32,True,31,28,3904,30.63165,38.6242,0.0,0.9032258,68.62244,-32.33826,66.86693,-32.50465,68.64183,-63.08462
33,True,31,28,20000,0,58.23475,0.0,0.9032258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,True,32,29,1066,69.7719,62.65546,0.0,0.90625,68.92552,-2.803406,68.60248,-4.50592,6.301514,-35.91761
35,True,33,30,14428,67.18918,32.37584,0.0,0.9090909,42.60287,-67.89746,42.45374,-66.11029,64.85583,-2.765762
36,True,34,31,620,49.37502,60.3199,0.0,0.9117647,63.13969,-55.84957,61.87625,-57.1125,36.30286,-14.87633
37,True,35,32,16808,64.85141,31.78224,0.0,0.9142857,65.53279,-67.99573,67.31955,-67.55567,64.64136,-2.759682
38,True,36,33,2796,54.52447,39.21502,0.0,0.9166667,33.63002,-15.68979,34.98738,-16.8717,54.05536,-67.95314
39,True,37,34,3028,14.76717,12.63971,0.4207398,0.9189189,3.724808,-35.19666,4.745735,-34.27146,14.3093,-23.01967
40,True,38,35,2484,35.92996,49.35358,0.0,0.9210526,44.1429,-2.826416,43.2196,-4.344894,7.290344,-4.465881
41,True,39,36,1850,30.71748,26.61537,0.0,0.9230769,8.320435,-24.42639,9.962067,-25.13217,33.41533,-5.295372
42,True,40,37,1988,21.50902,23.2408,0.0,0.925,69.08635,-67.91644,68.94615,-66.19212,47.51085,-67.96882
43,True,41,38,776,59.64341,63.77655,0.0,0.9268293,56.60864,-35.90429,55.18292,-34.5829,5.761597,-67.97137
44,True,42,39,3084,63.995,39.94213,0.0,0.9285714,55.59547,-67.96632,55.88538,-66.49556,3.218185,-30.14276
45,True,43,40,2320,76.46529,42.15873,0.0,0.9302326,3.775398,-67.27051,5.75354,-67.90002,50.92552,-6.204124
46,True,44,41,6226,46.7209,25.2208,0.2679088,0.9318182,68.57111,-67.89239,68.06607,-66.16035,46.644,-24.64092
47,True,45,41,19122,4.982265,43.97819,0.03043615,0.9111111,42.39867,-56.9873,43.89473,-56.08131,48.14165,-53.47662
48,True,46,42,11152,49.11578,41.01038,0.0,0.9130435,68.70743,-11.26962,67.79471,-12.82413,68.67381,-61.93199
49,True,47,43,1320,40.7396,44.25331,0.0,0.9148936,20.48531,-65.47327,22.3176,-65.55739,3.201614,-29.5811
50,True,48,44,17684,44.74813,20.47634,0.3228908,0.9166667,34.08683,-54.42598,35.37935,-53.26065,43.35972,-9.229874
51,True,49,45,4850,57.7153,46.04803,0.0,0.9183673,34.80685,-54.3297,36.22311,-53.79971,3.240028,-6.43782
52,True,50,46,1878,37.16777,26.43222,0.1224707,0.92,18.17049,-3.531403,17.59894,-5.237244,13.85566,-42.21574
53,True,51,46,7508,7.736581,16.3563,0.328716,0.9019608,58.61398,-22.14272,59.55887,-22.92708,60.93773,-30.53954
54,True,52,47,9962,67.94038,43.52477,0.0,0.9038461,45.98513,-61.16223,45.22168,-59.56725,3.223625,-6.163055
55,True,53,48,1988,27.55925,38.22065,0.0,0.9056604,23.20773,-47.05096,24.95361,-47.51698,6.478561,-67.96599
56,True,54,49,4028,80.50728,41.87345,0.0,0.9074074,68.80774,-67.93011,68.10242,-66.31293,18.74646,-2.709381
57,True,55,50,918,27.42708,21.48308,0.0,0.9090909,50.64601,-14.50674,50.80826,-16.04787,25.47124,-26.54898
58,True,56,51,762,63.45586,56.88255,0.0,0.9107143,68.60242,-28.90333,66.90869,-29.19151,4.36396,-39.90595
59,True,56,51,20000,0,27.26637,0.1076,0.9107143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,True,57,52,9762,45.95933,29.22322,0.0932186,0.9122807,54.8985,-49.09982,54.00204,-47.50211,64.42497,-2.74099
61,True,58,53,5354,24.23524,20.59047,0.1733284,0.9137931,61.23798,-60.23629,60.08353,-58.81499,41.43733,-43.33395
