epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,2660,29.14359,40.22769,0.0,1.0,57.89685,-39.63267,56.05548,-39.76263,63.38806,-67.96814
1,True,2,2,2768,61.23614,45.4657,0.0,1.0,68.64499,-22.20739,67.57825,-23.65594,20.63463,-62.97713
2,True,3,2,4434,9.056644,10.5962,0.7329725,0.6666667,55.35727,-46.93517,53.83534,-46.07515,52.39172,-37.13459
3,True,4,3,62,53.58587,53.03662,0.0,0.75,44.99324,-2.67543,44.97183,-4.468712,6.650215,-41.924
4,True,5,4,2088,35.07922,22.28545,0.0,0.8,39.12715,-40.92557,40.34946,-39.62816,55.82796,-8.14856
5,True,6,5,9926,69.00607,26.54819,0.2057223,0.8333333,68.58362,-68.0269,67.94458,-66.80647,16.92715,-20.34117
6,True,7,6,13650,59.25409,34.40524,0.06754579,0.8571429,12.8172,-27.13056,14.18275,-25.98521,64.11615,-57.88665
7,True,8,6,9520,4.781381,13.47059,0.6777311,0.75,25.27068,-67.9295,25.1802,-66.18964,24.25584,-61.49879
8,True,9,7,3372,19.12019,23.79485,0.1453144,0.7777778,54.63869,-51.38291,53.19077,-50.26236,42.57117,-34.36263
9,True,10,8,2470,26.24219,22.56209,0.0,0.8,66.27863,-2.81221,67.38759,-4.195038,45.15741,-18.138
10,True,11,8,640,13.50491,21.68138,0.0,0.7272727,18.79922,-31.22321,18.53627,-29.38375,22.72544,-42.22242
11,True,12,9,9146,25.3038,27.72807,0.1839055,0.75,24.4157,-39.04672,23.81265,-40.65255,47.25777,-50.17115
12,True,12,9,20000,0,16.4431,0.4398,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,True,13,10,12560,19.25368,24.79517,0.2890127,0.7692308,51.32716,-62.18627,50.32874,-60.64373,56.41525,-42.37751
14,True,14,11,18600,52.12824,19.07201,0.4926882,0.7857143,3.219231,-31.24044,4.61602,-31.8482,56.7402,-31.20244
15,True,15,12,8578,20.29827,8.920016,0.7197482,0.8,19.97842,-67.88316,21.01123,-66.41949,33.03938,-50.0691
16,True,16,13,9166,55.31495,34.2572,0.04320314,0.8125,59.59732,-68.285,57.79585,-68.07625,32.84946,-18.70625
17,True,17,14,5458,10.72259,10.76622,0.7453279,0.8235294,25.08797,-13.23628,25.84817,-15.151,23.17454,-25.53491
18,True,18,15,1514,54.2317,39.31164,0.0,0.8333333,36.00298,-57.26254,36.79393,-55.60553,48.83849,-2.728256
19,True,19,16,14944,10.61302,26.14436,0.2489293,0.8421053,58.41466,-42.97564,57.34171,-41.62148,51.36272,-32.85304
20,True,19,16,20000,0,30.93661,0.1452,0.8421053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,True,20,17,9728,54.19332,40.2752,0.0,0.85,43.24576,-57.34673,44.47249,-56.67255,3.238525,-21.50657
22,True,21,18,7262,37.34277,38.72284,0.0,0.8571429,18.25565,-2.816963,19.45431,-4.121437,20.8313,-41.43861
23,True,22,19,8062,18.3852,18.60223,0.4398412,0.8636364,25.69499,-67.70519,27.50202,-67.84828,40.52289,-54.86962
24,True,22,19,20000,0,21.63088,0.3761,0.8636364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,True,23,20,5018,18.56349,30.63695,0.0,0.8695652,42.66029,-57.21837,43.28339,-55.57271,25.84216,-49.21657
26,True,23,20,20000,0,13.81553,0.5765,0.8695652,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,True,24,21,524,19.12567,31.75686,0.0,0.875,47.32546,-42.09814,47.31778,-40.27059,50.03618,-59.20189
28,True,25,22,7078,34.06973,35.62154,0.0,0.88,3.298553,-67.16238,4.941422,-66.48984,35.55916,-51.54781
29,True,26,22,1298,7.743236,6.622995,0.8474576,0.8461539,68.6257,-31.41426,66.89426,-31.17815,59.15149,-31.10239
