episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,0.0,4184,31.1641,0.1046845
1,True,0.5,4380,27.59881,0.09680365
2,True,0.3333333,9642,17.73147,0.362373
3,True,0.5,16394,40.07828,0.01976333
4,True,0.4,8750,31.42257,0.06514286
5,True,0.5,310,45.61469,0.0
6,True,0.4285714,5068,31.88837,0.07300711
7,True,0.5,17750,50.42266,0.0
8,True,0.5555556,4620,27.78734,0.24329
9,False,0.5555556,20000,0.2083,0.5555556
10,True,0.5,828,4.085247,1.0
11,True,0.5454546,19402,23.0155,0.2340996
12,True,0.5833333,1180,55.1339,0.0
13,True,0.5384616,17132,13.92878,0.5358394
14,True,0.5714286,7426,13.79593,0.4764341
15,False,0.5714286,20000,0.0,0.5714286
16,True,0.6,782,37.9661,0.0
17,False,0.6,20000,0.2055,0.6
18,True,0.625,4042,35.09263,0.0
19,True,0.6470588,10294,33.68849,0.04080047
20,True,0.6666667,5432,22.10419,0.3033873
21,True,0.6842105,7590,33.17752,0.06192358
22,True,0.7,6716,27.97579,0.05836808
23,True,0.7142857,4258,12.89809,0.5753875
24,True,0.7272727,4104,35.90757,0.0
25,True,0.6956522,8022,16.79887,0.5632012
26,True,0.7083333,3488,36.34826,0.0
27,True,0.72,6494,29.46248,0.1367416
28,False,0.72,20000,0.5061,0.72
29,True,0.6923077,4786,11.615,0.7254492
30,True,0.7037037,14142,33.21744,0.06109461
31,True,0.7142857,7194,35.05117,0.1128718
32,False,0.7142857,20000,0.0906,0.7142857
33,True,0.7241379,4734,14.26742,0.6117448
34,True,0.7333333,16342,40.22681,0.09325664
35,True,0.7419355,850,35.32341,0.0
36,True,0.75,6022,30.19065,0.3331119
37,True,0.7575758,2,15.70515,0.0
38,True,0.7352941,6828,14.82137,0.5082015
39,True,0.7428572,480,23.97547,0.0
40,True,0.75,5714,25.60876,0.06265313
41,True,0.7567568,7608,45.61104,0.0
42,True,0.7631579,484,30.23168,0.0
43,True,0.7692308,9744,31.91367,0.1036535
44,True,0.775,4708,27.23443,0.0624469
45,True,0.7804878,5808,29.00109,0.09641873
46,True,0.7619048,17604,8.551678,0.7125653
47,True,0.7674419,4612,38.87914,0.0
48,False,0.7674419,20000,0.0,0.7674419
49,True,0.7727273,1114,28.26474,0.0
50,True,0.7555556,1022,19.31083,0.1389433
51,True,0.7608696,7186,26.0354,0.3556916
52,True,0.7659575,4488,24.04294,0.3168449
