epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,6806,57.5663,40.44992,0.0,1.0,3.314117,-3.206978,4.72226,-4.325104,56.30069,-29.88851
1,True,1,1,20000,0,39.45275,0.0721,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,True,2,2,8404,10.62576,25.13108,0.2003808,1.0,21.0061,-51.76118,22.65227,-52.09025,33.27707,-51.94804
3,True,3,2,5416,4.400709,31.44226,0.1728213,0.6666667,46.74657,-58.2302,48.16064,-59.1751,46.37053,-55.15516
4,True,4,2,1216,6.842196,33.0858,0.1611842,0.5,40.39271,-43.40659,40.42223,-44.92924,47.21837,-45.72172
5,True,5,3,5322,21.03943,21.67371,0.1450582,0.6,3.310257,-2.605148,4.870567,-3.336006,18.10733,-19.6883
6,True,6,4,2662,46.25347,31.5137,0.04282494,0.6666667,3.309181,-67.72286,3.912308,-65.86996,49.67004,-59.12358
7,True,7,5,396,17.98441,16.02766,0.0,0.7142857,42.12172,-56.88002,42.79498,-55.27996,28.31736,-65.94839
8,True,8,6,6342,32.94876,30.22268,0.0,0.75,2.842941,-2.771248,2.723961,-4.365746,24.89113,-28.74082
9,True,9,7,2772,36.33333,44.99747,0.0,0.7777778,68.64055,-2.32795,66.89326,-2.22084,51.12177,-34.95181
10,True,10,7,1292,3.906044,28.07428,0.1702786,0.7,39.4639,-67.88214,40.69641,-66.59113,36.90862,-65.63757
11,True,11,8,2096,74.83055,49.18664,0.0,0.7272727,68.75891,-67.93151,68.74716,-66.18372,17.00544,-12.12465
12,True,12,9,3908,22.0644,52.55354,0.0,0.75,40.36462,-15.42226,40.71085,-17.42633,24.31489,-2.663376
13,True,13,10,10368,86.14165,55.66975,0.0,0.7692308,2.693077,-3.580727,2.796806,-5.614868,68.67542,-61.116
14,True,14,10,2830,1.727518,33.17483,0.1265018,0.7142857,14.1927,-14.62977,15.59259,-15.67336,16.96758,-14.62757
15,True,15,11,4946,53.80259,45.75567,0.0,0.7333333,68.1214,-33.9127,66.9068,-33.18456,13.60718,-40.5239
16,True,16,11,1154,2.901117,13.21982,0.457539,0.6875,3.176308,-26.3578,3.971481,-27.97398,4.957672,-25.24669
17,True,17,12,15726,88.19304,29.07368,0.1916571,0.7058824,3.278641,-67.92673,5.008591,-67.87595,65.23219,-3.4468
18,True,18,13,4312,65.83675,52.4596,0.0,0.7222222,3.038437,-2.793701,2.853409,-4.529877,66.75568,-20.37119
19,True,19,14,1334,28.62758,27.04267,0.0,0.7368421,46.60756,-15.44147,45.66475,-16.72168,51.66954,-44.7124
20,True,20,15,7110,29.28319,44.58264,0.0,0.75,68.64218,-2.407623,66.91809,-2.501961,47.75688,-24.6447
21,True,21,16,4462,62.5563,43.28749,0.0,0.7619048,67.16461,-67.90051,67.67717,-66.23582,5.420502,-60.12061
22,True,22,16,6462,4.893243,30.59733,0.2906221,0.7272727,3.294365,-68.3451,5.049355,-68.02603,9.940567,-68.1666
23,True,23,17,6192,40.87122,28.1956,0.0,0.7391304,68.82108,-2.776695,68.3141,-4.433968,66.65677,-45.27152
24,True,24,18,7810,27.70844,30.39595,0.0,0.75,68.71268,-67.88123,67.959,-66.30814,45.39426,-50.22897
25,True,24,18,20000,0,32.64364,0.1315,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,True,25,19,2240,29.4178,34.48318,0.0,0.76,3.300926,-4.709297,4.94693,-5.251984,26.20165,-25.58942
27,True,26,20,8186,40.95636,38.08299,0.0,0.7692308,3.279984,-68.47214,5.016434,-68.18867,25.27366,-32.59438
28,True,27,21,3850,86.18605,38.48004,0.2524675,0.7777778,3.272049,-2.726082,4.859993,-3.460922,68.65247,-61.41385
29,True,28,22,4038,34.95148,27.42248,0.09905894,0.7857143,68.94359,-67.93346,69.01691,-66.2774,36.66119,-53.06086
30,True,29,23,11796,30.86231,21.14601,0.5028824,0.7931035,3.27639,-68.36672,5.034416,-68.00163,10.11102,-37.56076
31,True,30,24,5918,48.81948,39.2358,0.08550186,0.8,3.291779,-2.511833,4.797005,-3.220261,40.55206,-36.45914
32,True,31,25,2270,58.14572,28.34141,0.0,0.8064516,3.889771,-67.90812,4.31778,-66.25414,16.37196,-9.371796
33,True,32,25,13926,3.900605,41.2776,0.01192015,0.78125,69.17287,-55.55128,68.88266,-57.56966,69.02988,-53.67184
34,True,33,26,906,31.07349,51.70663,0.0,0.7878788,25.08092,-55.19145,24.06804,-54.1903,54.50749,-60.43466
35,True,34,27,6974,40.54733,37.28196,0.0,0.7941176,68.61835,-2.439095,66.92795,-2.392654,52.30151,-40.20965
36,True,35,27,2246,7.540347,27.48238,0.1549421,0.7714286,2.999184,-67.91816,3.433891,-66.21971,10.09249,-62.68214
37,True,36,28,5182,36.71054,22.78841,0.2547279,0.7777778,3.141869,-67.89912,3.928726,-66.28405,9.254425,-29.96309
38,True,37,29,8768,37.16892,56.02954,0.0,0.7837838,28.05414,-38.18123,29.47025,-36.92826,9.001068,-67.95193
39,True,38,30,2216,17.19221,20.72323,0.06588448,0.7894737,14.93658,-2.79071,15.07536,-4.537865,21.71996,-20.39363
40,True,39,30,3304,7.559187,6.021985,0.9400727,0.7692308,68.32613,-67.89767,68.88605,-66.23769,65.74893,-59.36217
41,True,40,31,1818,26.76765,30.9009,0.0,0.775,43.97077,-2.786774,43.21842,-4.431541,68.72311,-12.55637
42,True,41,32,2030,78.06796,57.17456,0.0,0.7804878,68.63353,-2.862549,66.87299,-2.922379,9.078545,-55.40468
43,True,42,33,5440,44.07304,31.55996,0.2106618,0.7857143,68.60208,-68.06218,67.12506,-67.10439,47.49532,-27.645
44,True,43,34,7298,74.70503,35.84227,0.0,0.7906977,3.505493,-46.70708,4.541359,-45.31146,68.20718,-6.228218
45,True,44,34,5410,4.016947,25.23724,0.2584104,0.7727273,3.313896,-2.925011,4.706161,-3.956642,3.793129,-7.868347
46,True,45,35,8870,69.28236,41.41047,0.1573844,0.7777778,68.61166,-37.01379,66.89664,-37.29208,3.266792,-9.882675
47,True,46,36,6242,19.96648,47.24489,0.0,0.7826087,38.17703,-16.23344,39.15668,-17.70757,19.19063,-17.81589
48,True,47,36,1200,4.154266,25.40984,0.2066667,0.7659575,47.85248,-59.10945,46.67332,-57.56581,49.03688,-60.98204
49,True,48,37,2068,63.11497,42.52884,0.0,0.7708333,68.60367,-67.84897,67.44049,-66.49215,22.0895,-22.5973
50,True,49,38,15138,63.86228,31.41057,0.05786762,0.7755102,67.08212,-67.89829,65.88268,-66.58511,64.35025,-2.741241
51,True,50,38,1934,3.887495,29.88792,0.0713547,0.76,28.81137,-3.020294,26.90747,-2.669342,30.54843,-4.027985
52,True,50,38,20000,0,54.52943,0.0,0.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,True,50,38,20000,0,41.78402,0.062,0.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,True,51,39,6604,66.36012,39.91713,0.0,0.7647059,68.7639,-2.809998,68.01022,-4.312737,8.590439,-33.85824
55,True,52,40,2710,57.90006,38.23998,0.0,0.7692308,68.69318,-59.15154,67.87677,-57.47835,49.33527,-2.627396
56,True,53,41,2944,86.77325,58.45293,0.0,0.7735849,3.266785,-68.23996,5.004982,-68.00922,62.21211,-2.764137
57,True,54,41,374,3.086432,11.26659,0.5187166,0.7592593,49.64342,-28.32411,48.3462,-27.53957,50.92931,-29.22863
