epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,2806,46.75946,28.64208,0.0,1.0,65.24652,-12.96712,65.7386,-14.71765,58.76898,-60.95474
1,True,2,2,2988,48.5024,46.30537,0.0,1.0,68.99725,-67.9334,68.6487,-66.19398,24.54214,-46.0178
2,True,3,3,3810,27.86181,32.14731,0.0,1.0,3.290497,-2.513817,5.034149,-2.76403,25.41946,-21.75527
3,True,4,3,848,9.072142,23.40556,0.1438679,0.75,48.67791,-10.35658,50.03172,-9.194321,44.74005,-16.56202
4,True,5,4,960,44.1509,36.0837,0.0,0.8,3.224083,-67.88753,4.482384,-66.60583,47.22437,-55.54496
5,True,5,4,20000,0,27.15349,0.2306,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,True,6,5,7458,40.81055,43.86945,0.0,0.8333333,3.230042,-68.31552,5.286407,-68.04986,27.40972,-33.75763
7,True,7,6,5262,23.35876,11.95244,0.5990118,0.8571429,64.22543,-24.8335,62.94833,-26.06871,64.01367,-2.734444
8,True,8,7,13602,64.12585,26.93702,0.1011616,0.875,68.79538,-67.885,67.83493,-66.39126,59.76305,-2.775581
9,True,9,7,7782,6.673588,16.63745,0.3492675,0.7777778,46.09099,-61.10462,44.97362,-59.72473,46.65022,-53.26519
10,True,10,7,8082,4.044944,23.58787,0.1059144,0.7,57.44887,-12.31408,55.8161,-11.97587,59.7027,-13.09507
11,True,11,8,2622,24.14935,16.68473,0.07627765,0.7272727,49.9978,-14.79114,50.17358,-16.63334,45.06029,-40.23513
12,True,12,9,766,30.6719,27.52332,0.0,0.75,68.60182,-2.609962,67.00452,-3.303162,43.14917,-22.58118
13,True,13,10,1034,40.80596,31.78939,0.0,0.7692308,16.11343,-41.76151,17.41162,-43.3667,54.59601,-60.17254
14,True,13,10,20000,0,22.77336,0.2339,0.7692308,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,True,14,11,15030,17.53346,30.70132,0.06187625,0.7857143,26.91267,-24.45245,25.28269,-23.98772,42.74608,-22.42426
16,True,15,12,1426,36.08386,50.7575,0.0,0.8,24.17509,-13.94722,24.82208,-15.50315,59.53975,-25.3382
17,True,16,13,6644,39.56787,34.44656,0.1384708,0.8125,40.25536,-56.86634,38.82635,-56.80067,43.8102,-17.54815
18,True,16,13,20000,0,35.92444,0.0659,0.8125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,True,17,14,5494,31.12794,33.15991,0.1234074,0.8235294,56.44809,-52.70789,54.80911,-53.51805,55.83568,-22.40753
20,True,18,15,7054,24.10791,23.71097,0.05387015,0.8333333,14.5864,-8.421364,15.3695,-6.773285,39.23353,-10.19214
21,True,19,16,2982,59.57422,40.69875,0.0,0.8421053,68.1102,-2.818169,68.7634,-4.422951,25.16839,-45.02538
22,True,20,16,1510,9.658813,25.13786,0.2039735,0.8,63.80209,-24.56777,63.34454,-26.25566,54.37411,-29.83618
23,True,21,16,476,7.11693,16.33388,0.407563,0.7619048,42.71556,-23.47086,43.55813,-24.72491,48.51212,-29.83456
24,True,22,17,1372,62.78278,42.35769,0.0,0.7727273,3.308968,-67.73944,4.407974,-66.30975,55.62695,-30.00233
25,True,22,17,20000,0,41.61866,0.2076,0.7727273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,True,23,18,2958,36.96979,35.5453,0.0,0.7826087,14.39201,-7.590622,15.93468,-6.759918,42.91991,-32.02877
